,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
0,ENA|FN433596|FN433596.1,1,404,403,44.4863523573201,65,101.0,-5.5511659865048815,-9.693653467196546,-1.1829205777693688
1,ENA|FN433596|FN433596.1,29034,36035,7001,0.0,0,94.03756606199114,-9.693653467197262,-9.693653467196546,
2,ENA|FN433596|FN433596.1,42976,44977,2001,0.0,0,93.0,-9.693653467196427,-9.693653467196546,
3,ENA|FN433596|FN433596.1,106185,110186,4001,0.0,0,97.72356910772307,-9.693653467196258,-9.693653467196546,
4,ENA|FN433596|FN433596.1,123104,130105,7001,0.0,0,94.5899157263248,-9.693653467197262,-9.693653467196546,
5,ENA|FN433596|FN433596.1,167572,169573,2001,0.0,0,99.0,-9.693653467196427,-9.693653467196546,
6,ENA|FN433596|FN433596.1,201927,204928,3001,0.0,0,98.0,-9.693653467195938,-9.693653467196546,
7,ENA|FN433596|FN433596.1,233150,235151,2001,0.0,0,98.0,-9.693653467196427,-9.693653467196546,
8,ENA|FN433596|FN433596.1,239357,239363,6,146.66666666666666,148,99.0,4.239583011772214,4.3662487979446585,0.5670405927238937
9,ENA|FN433596|FN433596.1,282162,287163,5001,0.0,0,96.60667866426715,-9.693653467196727,-9.693653467196546,
10,ENA|FN433596|FN433596.1,326895,333896,7001,0.0,0,97.55949150121411,-9.693653467197262,-9.693653467196546,
11,ENA|FN433596|FN433596.1,340312,340313,1,142.0,142,97.0,4.074395156609182,4.074395156609182,0.5498342773175542
12,ENA|FN433596|FN433596.1,364253,370254,6001,0.0,0,95.63172804532577,-9.69365346719704,-9.693653467196546,
13,ENA|FN433596|FN433596.1,385871,386872,1001,0.0,0,99.0,-9.693653467196636,-9.693653467196546,
14,ENA|FN433596|FN433596.1,419194,424195,5001,0.0,0,97.0,-9.693653467196727,-9.693653467196546,
15,ENA|FN433596|FN433596.1,448494,448505,11,142.54545454545453,145,98.0,3.986251439427328,4.221811026467408,0.5405683813627025
