,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
0,chrY,1,3050203,3050202,0.0,0.0,0.0,-4.009999999999999,-4.01,
1,chrY,3051801,3054503,2702,0.0,0.0,0.0,-4.009999999999999,-4.01,
2,chrY,3057001,3059603,2602,0.0,0.0,0.0,-4.01,-4.01,
3,chrY,3060701,3061703,1002,0.0,0.0,0.0,-4.01,-4.01,
4,chrY,3063001,3063703,702,0.0,0.0,0.0,-4.01,-4.01,
5,chrY,3065201,3070903,5702,0.0,0.0,0.0,-4.01,-4.01,
6,chrY,3072601,3075203,2602,0.0,0.0,0.0,-4.010000000000001,-4.01,
7,chrY,3076301,3077203,902,0.0,0.0,0.0,-4.01,-4.01,
8,chrY,3078701,3088803,10102,0.0,0.0,0.0,-4.009999999999999,-4.01,
9,chrY,3090101,3092203,2102,0.0,0.0,0.0,-4.009999999999999,-4.01,
10,chrY,3093701,3094803,1102,0.0,0.0,0.0,-4.01,-4.01,
11,chrY,3095901,3096403,502,0.0,0.0,0.0,-4.01,-4.01,
12,chrY,3097601,3098603,1002,0.0,0.0,0.0,-4.01,-4.01,
13,chrY,3100801,3101103,302,0.0,0.0,0.0,-4.01,-4.01,
14,chrY,3103301,3104803,1502,0.0,0.0,0.0,-4.01,-4.01,
15,chrY,3105901,3111503,5602,0.0,0.0,0.0,-4.009999999999999,-4.01,
16,chrY,3114901,3115003,102,0.0,0.0,0.0,-4.01,-4.01,
17,chrY,3116201,3118803,2602,0.0,0.0,0.0,-4.010000000000001,-4.01,
18,chrY,3120901,3122703,1802,0.0,0.0,0.0,-4.010000000000001,-4.01,
19,chrY,3124201,3138303,14102,0.0,0.0,0.0,-4.009999999999999,-4.01,
20,chrY,3139501,3142003,2502,0.0,0.0,0.0,-4.01,-4.01,
21,chrY,3142301,3142403,102,0.505,0.87,0.0075,96.46873318943129,180.4590324806731,6.073248982030639
22,chrY,3142501,3144103,1602,0.0,0.0,0.014117647058823528,-4.01,-4.01,
23,chrY,3144301,3144303,2,0.66,0.66,0.03,20.877463827313655,20.877463827313655,4.459431618637297
24,chrY,3144401,3145003,602,0.0,0.0,0.03642857142857143,-4.009999999999999,-4.01,
