,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
0,ENA|FN433596|FN433596.1,1,19,18,311.6666666666667,367,518.0,-5.392292049899359,-7.0188704436362315,-0.7329482336327109
1,ENA|FN433596|FN433596.1,5375,5401,26,354.84615384615387,365,517.0,-4.253708543635038,-4.821844935745394,-0.5429706113903708
2,ENA|FN433596|FN433596.1,6202,6239,37,322.1081081081081,368,517.0,-5.1051021262922305,-6.096150857485876,-0.6826193038302484
3,ENA|FN433596|FN433596.1,10419,10443,24,333.9130434782609,363,516.0,-4.781270988917108,-5.8733841997539935,-0.6278986158717486
4,ENA|FN433596|FN433596.1,24150,24251,101,356.7821782178218,400,512.0,-4.112748844936267,-5.3149984830261,-0.5211002578564023
5,ENA|FN433596|FN433596.1,26043,26047,4,358.75,372,512.0,-4.061073430669321,-4.264590062203667,-0.5131649784369499
6,ENA|FN433596|FN433596.1,31021,31069,48,353.0625,370,513.0,-4.2285014687982185,-4.597065826981527,-0.5390352302716696
7,ENA|FN433596|FN433596.1,36531,36533,2,67.0,67,513.0,-11.72591954615381,-11.72591954615381,-2.936725825149282
8,ENA|FN433596|FN433596.1,48293,48372,79,756.2911392405064,841,511.0,6.417306260384219,8.646131952064458,0.5656184251384686
9,ENA|FN433596|FN433596.1,50916,50956,40,304.1,363,510.0,-5.464877347306979,-6.522041336012347,-0.7459514307154225
10,ENA|FN433596|FN433596.1,53784,53802,18,337.5,360,510.0,-4.584346743248142,-5.203881749097922,-0.5956097449206648
11,ENA|FN433596|FN433596.1,54431,54433,2,62.0,62,510.0,-11.847406067146624,-11.847406067146624,-3.040157126471983
12,ENA|FN433596|FN433596.1,58025,58050,25,351.0,365,511.0,-4.246552226797177,-4.509668230447414,-0.5418522606330605
13,ENA|FN433596|FN433596.1,59852,59854,2,53.0,53,510.0,-12.08467479279122,-12.08467479279122,-3.2664329822956586
14,ENA|FN433596|FN433596.1,60493,60518,25,347.04,366,511.0,-4.35074616424267,-4.930653836287794,-0.558221333040072
15,ENA|FN433596|FN433596.1,60784,60795,11,352.6363636363636,433,511.0,-4.203496880745321,-4.6675378326375565,-0.5351420390435082
16,ENA|FN433596|FN433596.1,61955,61976,21,282.85714285714283,601,511.0,-6.0394998516709375,-7.43025587096505,-0.8532496880282537
17,ENA|FN433596|FN433596.1,62192,62224,32,300.6875,363,511.0,-5.570354620162433,-6.561973058919266,-0.7650583968553994
18,ENA|FN433596|FN433596.1,63469,63679,210,355.68095238095236,401,511.0,-4.123388878421851,-4.693849433002581,-0.5227395746808645
19,ENA|FN433596|FN433596.1,65009,65370,361,328.38504155124656,381,511.0,-4.841587975772395,-7.693371874615287,-0.6379348795506523
20,ENA|FN433596|FN433596.1,66231,66377,146,160.36986301369862,371,512.0,-9.270577591027287,-13.48192395492051,-1.6747407567473092
21,ENA|FN433596|FN433596.1,66581,66583,2,361.0,363,512.0,-4.001987956998059,-4.054508378039181,-0.5041449731128289
22,ENA|FN433596|FN433596.1,68584,74154,5570,56.17576301615799,434,512.0073608617595,-12.00673659196307,-13.48192395492051,-3.1881448309618756
23,ENA|FN433596|FN433596.1,74736,74797,61,296.95081967213116,363,512.0,-5.683932916077257,-7.993539956123302,-0.7859197953281049
