,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
0,chr4,1,9903,9902,0.0,0.0,5.322050000000002,-4.009999999999998,-4.01,
1,chr4,10101,10103,2,16.42,16.42,5.2,6.4601794851761865,6.4601794851761865,1.6588705987493504
2,chr4,10601,11503,902,0.0,0.0,5.150999999999999,-4.01,-4.01,
3,chr4,13701,19103,5402,20.510869565217394,49.48,5.0249999999999995,9.214212375335507,26.58797432914885,2.0291931552518663
4,chr4,20301,31303,11002,18.356226415094337,31.89,4.771320754716981,8.478444837882767,16.761886691149815,1.9438089262326004
5,chr4,35801,41603,5802,20.785957446808514,36.34,4.950957446808511,9.522052602043434,18.818312564135624,2.0698297486059993
6,chr4,42701,51903,9202,17.677,31.4,5.231,7.119301004135191,14.95655851871306,1.756714777634395
7,chr4,54801,65803,11002,18.879615384615384,30.57,5.529567307692308,7.219232479881531,13.162238768681437,1.7715908762805213
8,chr4,67201,68503,1302,17.80846153846154,26.79,5.656923076923078,6.432839914931323,11.134603324424523,1.6544734299259223
9,chr4,107501,107703,202,0.0,0.0,5.94,-4.01,-4.01,
10,chr4,336601,336903,302,0.0,0.0,5.311249999999999,-4.01,-4.01,
11,chr4,369801,369803,2,0.0,0.0,5.31,-4.01,-4.01,
12,chr4,395901,396003,102,0.0,0.0,5.2325,-4.01,-4.01,
13,chr4,541701,542003,302,0.0,0.0,4.67625,-4.01,-4.01,
14,chr4,555001,555603,602,26.09714285714286,36.64,4.55,14.04811300690337,20.868312061843124,2.519953417234692
15,chr4,617601,617603,2,13.15,13.15,4.225,6.326942482062565,6.326942482062565,1.6380395530101182
16,chr4,623901,624003,102,0.0,0.0,4.2,-4.01,-4.01,
17,chr4,663901,663903,2,0.0,0.0,4.17,-4.01,-4.01,
18,chr4,674201,674203,2,0.0,0.0,4.11,-4.01,-4.01,
19,chr4,689201,689203,2,0.0,0.0,4.12,-4.01,-4.01,
20,chr4,705801,705903,102,0.0,0.0,4.11,-4.01,-4.01,
21,chr4,720601,720603,2,0.0,0.0,4.05,-4.01,-4.01,
22,chr4,722801,722803,2,0.0,0.0,4.04,-4.01,-4.01,
23,chr4,745001,747503,2502,0.0,0.0,3.9899999999999998,-4.01,-4.01,
24,chr4,758801,759703,902,0.0,0.0,3.97,-4.01,-4.01,
25,chr4,786301,786303,2,0.0,0.0,3.93,-4.01,-4.01,
26,chr4,841401,841403,2,12.54,12.54,4.04,6.302024670699179,6.302024670699179,1.634110150050244
27,chr4,900701,900703,2,11.47,11.47,3.78,6.097255287498329,6.097255287498329,1.6014072517947526
28,chr4,921001,921003,2,11.6,11.6,3.75,6.270744913864748,6.270744913864748,1.6291623046316912
29,chr4,926901,927403,502,0.0,0.0,3.7400000000000007,-4.009999999999999,-4.01,
30,chr4,931801,932103,302,0.0,0.0,3.73,-4.01,-4.01,
31,chr4,950201,950203,2,0.0,0.0,3.74,-4.01,-4.01,
32,chr4,961601,961603,2,0.0,0.0,3.79,-4.01,-4.01,
33,chr4,973201,973903,702,0.0,0.0,3.7775,-4.01,-4.01,
34,chr4,987301,987303,2,0.0,0.0,3.81,-4.01,-4.01,
35,chr4,997301,997603,302,0.0,0.0,3.80625,-4.01,-4.01,
36,chr4,1002601,1003503,902,0.0,0.0,3.8400000000000007,-4.01,-4.01,
37,chr4,1009601,1010103,502,0.0,0.0,3.9,-4.009999999999999,-4.01,
38,chr4,1011301,1012603,1302,0.0,0.0,3.9175000000000004,-4.009999999999999,-4.01,
39,chr4,1020701,1021103,402,0.0,0.0,3.972,-4.01,-4.01,
40,chr4,1023901,1023903,2,0.0,0.0,4.01,-4.01,-4.01,
41,chr4,1030701,1030703,2,0.0,0.0,4.06,-4.01,-4.01,
42,chr4,1035501,1035503,2,0.0,0.0,4.09,-4.01,-4.01,
43,chr4,1042901,1042903,2,0.0,0.0,4.13,-4.01,-4.01,
44,chr4,1046201,1046203,2,0.0,0.0,4.07,-4.01,-4.01,
45,chr4,1075301,1075303,2,13.3,13.3,4.075,6.7725083050577135,6.7725083050577135,1.7065542812701122
46,chr4,1086601,1087303,702,0.0,0.0,4.081250000000001,-4.01,-4.01,
47,chr4,1094401,1094403,2,0.0,0.0,4.1,-4.01,-4.01,
48,chr4,1100701,1100703,2,12.49,12.49,4.11,6.110612185831456,6.110612185831456,1.6035631779262745
49,chr4,1195001,1195003,2,0.0,0.0,4.49,-4.01,-4.01,
50,chr4,1248201,1249603,1402,0.0,0.0,4.320666666666667,-4.009999999999999,-4.01,
51,chr4,1290101,1290103,2,0.0,0.0,4.06,-4.01,-4.01,
52,chr4,1296101,1296203,102,0.0,0.0,4.092499999999999,-4.01,-4.01,
53,chr4,1333801,1333903,102,0.0,0.0,4.02,-4.01,-4.01,
