Type,Locus,Strand,Left,Right,Length,CN_HMM,CN_boot,Lowerbound,Upperbound
IG,,1,1,516,516,1,0.974206632,0.8444497233,1.1225826273
CDS,SATW20_00010,1,517,1878,1362,1,1.0848383728,0.998316113,1.1519500583
IG,,1,1879,2155,277,1,1.1585438277,1.0720392219,1.2728534854
CDS,SATW20_00020,1,2156,3289,1134,1,1.0524727039,0.9906425071,1.1245804718
IG,,1,3290,3678,389,1,1.013339668,0.9366224404,1.0973727136
CDS,SATW20_00030,1,3679,3915,237,1,0.9886240663,0.8557777074,1.1152915248
CDS,SATW20_00040,1,3912,5024,1113,1,0.9165368948,0.8372204098,1.0123201494
IG,,1,5025,5033,9,1,0.8774038588,0.0123578008,0.8774038588
CDS,SATW20_00050,1,5034,6968,1935,1,0.8594850476,0.7933522765,0.9336380315
IG,,1,6969,7004,36,1,0.9206561617,0.7414680497,1.0998442738
CDS,SATW20_00060,1,7005,9665,2661,1,0.9899971553,0.9259013617,1.0499599511
IG,,1,9666,9752,87,1,0.8897616597,0.865046058,0.9144772613
CDS,SATW20_00070,-1,9753,10565,813,1,0.9762662655,0.9020508061,1.0613977823
IG,,1,10566,10890,325,1,1.0256974688,0.9577295642,1.0813075725
CDS,SATW20_00080,1,10891,12405,1515,1,0.9544583817,0.9043002489,1.0083456626
IG,,1,12406,12782,377,1,1.0009818671,0.865046058,1.1060231742
CDS,SATW20_00090,1,12783,14069,1287,1,1.1298560758,1.0467145572,1.2172433816
IG,,1,14070,14712,643,1,0.9422823132,0.8449337372,1.0783262531
CDS,SATW20_00100,1,14713,15408,696,1,0.8897616597,0.7754211075,0.9979078642
CDS,SATW20_00110,1,15405,15734,330,1,0.9639084646,0.7630942012,1.1832594294
IG,,1,15735,16095,361,1,1.0226080186,0.939192863,1.1214704252
CDS,SATW20_00120,1,16096,17064,969,1,0.9549209731,0.8987491512,1.0054868473
IG,,1,17065,17371,307,1,0.8712249584,0.760004751,1.0071607675
CDS,SATW20_00130,1,17372,18295,924,1,0.9700873651,0.8662818381,1.0664905693
IG,,1,18296,18309,14,1,1.04423417,1.0009818671,1.0874864729
CDS,SATW20_00140,1,18310,20277,1968,1,1.0578277509,1.0151748014,1.0973850714
CDS,SATW20_00150,1,20274,20720,447,1,1.0936653733,1.0297961394,1.1595736444
IG,,1,20721,20751,31,1,1.0504130704,0.0245920236,1.0380552696
CDS,SATW20_00160,1,20752,22152,1401,1,0.9927433332,0.9036847819,1.0743624885
IG,,1,22153,22429,277,1,0.9113878111,0.8774038588,0.9669979149
CDS,SATW20_00170,1,22430,23713,1284,1,0.909181061,0.8544006953,0.9718615922
IG,,1,23714,24142,429,1,0.7735983319,0.6574350041,0.8576560931
tRNA,SATW20_t010,1,24143,24214,72,1,1.1863488796,0.8156148547,1.5570829044
IG,,1,24215,24224,10,1,1.5570829044,0.0245920236,1.5447251036
tRNA,SATW20_t020,1,24225,24297,73,1,1.5570829044,0.0370734025,1.5447251036
IG,,1,24298,24896,599,1,1.0062780675,0.835034256,1.2570001923
CDS,SATW20_00180,1,24897,25604,708,1,1.0490399815,0.9542831109,1.1465979536
IG,,1,25605,25616,12,1,0.939192863,0.0247156017,0.9268350622
CDS,SATW20_00190,1,25617,27443,1827,1,0.976916676,0.9157455619,1.0413528512
CDS,SATW20_00200,1,27436,28770,1335,1,1.0204012684,0.9347705357,1.1210379022
CDS,SATW20_00210,1,28771,29559,789,1,1.0298167357,0.877390128,1.1698855427
IG,,1,29560,29964,405,1,0.8601029377,0.7142561723,1.0083965476
CDS,SATW20_00220,1,29965,30747,783,1,0.8609267911,0.7798733485,0.9433258608
IG,,1,30748,30973,226,1,0.8938809266,0.7661836514,1.013339668
CDS,SATW20_00230,1,30974,33292,2319,1,0.9211710701,0.8645260006,0.9680586261
IG,,1,33293,33659,367,1,0.8230295352,0.7464111701,0.8897616597
CDS,SATW20_00250,1,33660,34139,480,1,1.0339360027,0.9143536833,1.1822708053
IG,,1,34140,34384,245,1,1.1410369432,0.939192863,1.2604956845
CDS,SATW20_00260,1,34385,34690,306,1,1.1214704252,1.0503512814,1.207975031
IG,,1,34691,34887,197,1,1.2069452143,1.1492754771,1.3099268879
CDS,SATW20_00270,1,34888,35751,864,1,1.1208525352,1.0343355716,1.2086052789
IG,,1,35752,35858,107,1,1.1430965767,1.0751286721,1.2110644812
CDS,SATW20_00280,1,35859,36530,672,1,1.089031198,1.0380552696,1.1307387758
IG,,1,36531,36531,1,1,1.1739910787,0.0123578008,1.1616332779
CDS,SATW20_00280,1,36532,37347,816,1,1.0421745366,0.9185553356,1.1836027016
IG,,1,37348,37560,213,1,1.0339360027,0.9268350622,1.1245598754
CDS,SATW20_00300,1,37561,38661,1101,1,0.9484612136,0.8784027811,1.0174692331
CDS,SATW20_00310,1,38654,39025,372,1,0.8848185393,0.7637120912,1.0108681078
CDS,SATW20_00320,1,39022,40665,1644,1,1.0286051866,0.952270324,1.1013272099
IG,,1,40666,40889,224,1,0.939192863,0.8897616597,0.9639084646
CDS,SATW20_00330,1,40890,42488,1599,1,0.9544583817,0.8708542244,1.0359035584
IG,,1,42489,43230,742,1,1.0037280451,0.8966271046,1.1040596569
CDS,SATW20_00330,1,43231,43311,81,1,0.9515506638,0.865046058,1.0380552696
CDS,SATW20_00340,1,42623,43108,486,1,1.0195185684,0.8670850952,1.1369588689
IG,,1,43109,43399,291,1,1.0339360027,0.865046058,1.1987066804
CDS,SATW20_00350,1,43400,43738,339,1,0.8897616597,0.7958423734,0.9663800248
IG,,1,43739,43831,93,1,1.0071607675,0.9639084646,1.0504130704
CDS,SATW20_00360,1,43832,44143,312,1,0.9978924169,0.8125254045,1.2357800829
IG,,1,44144,44158,15,1,0.8403304564,0.0123578008,0.8279726555
CDS,SATW20_00370,1,44159,44665,507,1,0.9906836998,0.9185553356,1.0504130704
IG,,1,44666,44685,20,1,1.0504130704,0.0123578008,1.0380552696
CDS,SATW20_00380,1,44686,44865,180,1,1.0339360027,0.9268350622,1.1245598754
IG,,1,44866,44868,3,1,0.9268350622,0.0123578008,0.9268350622
CDS,SATW20_00380,1,44869,45000,132,1,0.9021194605,0.8774038588,0.9268350622
IG,,1,45001,45121,121,1,1.0504130704,0.9515506638,1.1492754771
CDS,SATW20_00390,1,45122,46207,1086,1,1.0462938035,0.9978821188,1.1019450999
CDS,SATW20_00400,1,46204,48096,1893,1,1.0718766193,0.9918501027,1.1519421604
IG,,1,48097,48102,6,1,1.0751286721,0.939192863,1.2110644812
CDS,SATW20_00410,1,48103,48480,378,1,1.19252778,0.9793557157,1.4427732468
IG,,1,48481,48630,150,1,1.0627708713,0.939192863,1.2110644812
CDS,SATW20_00420,1,48631,49413,783,1,0.9584161087,0.8458090814,1.0848089494
IG,,1,49414,49538,125,1,0.9021194605,0.8526882572,0.9515506638
CDS,SATW20_00430,-1,49539,50270,732,1,0.9778109906,0.8774038588,1.0905913704
IG,,1,50271,50778,508,1,1.0236378353,0.8361905931,1.1863488796
CDS,SATW20_00440,1,50779,51441,663,1,0.9361034128,0.8743144086,0.991744411
IG,,1,51442,51988,547,1,1.0256974688,0.9350529997,1.1245598754
CDS,SATW20_00450,1,51989,52861,873,1,1.1282672157,1.0788236546,1.1925401378
IG,,1,52862,52908,47,1,1.1122020746,1.0627708713,1.1616332779
CDS,SATW20_00460,1,52909,53208,300,1,1.0751286721,0.9299245124,1.1585438277
IG,,1,53209,53223,15,1,1.1492754771,0.0370734025,1.1370412543
CDS,SATW20_00470,1,53224,53712,489,1,1.1101424411,1.03389481,1.2152043445
IG,,1,53713,53846,134,1,1.0195185684,0.9886240663,1.0504130704
CDS,SATW20_00480,1,53847,54374,528,1,1.1657525448,1.0647893121,1.2543373805
IG,,1,54375,54436,62,1,1.1801699791,1.0998442738,1.2604956845
CDS,SATW20_00490,1,54437,54853,417,1,1.1838773194,1.0330627181,1.3296993692
IG,,1,54854,55204,351,1,1.0973727136,0.9169488215,1.216230042
CDS,SATW20_00500,1,55205,55306,102,1,1.2110644812,1.1616332779,1.2604956845
IG,,1,55307,55319,13,1,1.2604956845,0.0123578008,1.2481378837
CDS,SATW20_00510,1,55320,55541,222,1,1.0916057399,1.0009818671,1.2604956845
IG,,1,55542,55690,149,1,0.9144772613,0.8156148547,1.013339668
CDS,SATW20_00520,1,55691,56257,567,1,0.9338966626,0.8491398029,1.0327943773
IG,,1,56258,56336,79,1,0.9948029667,0.9144772613,1.0751286721
CDS,SATW20_00530,-1,56337,58550,2214,1,0.9945343189,0.9332557456,1.0455989011
IG,,1,58551,58611,61,"1,2",1.7177343152,1.0380552696,2.3974133608
CDS,SATW20_00540,-1,58612,59286,675,"2,3,4",2.2226387491,1.7437563129,2.8317724059
IG,,1,59287,59568,282,"1,3",1.1770805289,0.7816309024,1.9031013276
CDS,SATW20_00550,1,59569,60915,1347,"1,3",2.0678720053,1.4042828164,2.5928149075
IG,,1,60916,61214,299,3,2.8144891388,2.3170876554,3.2531910682
CDS,SATW20_00560,1,61215,61622,408,3,2.8645382321,2.4146895663,3.2278575765
IG,,1,61623,61638,16,3,2.8546519914,0.0370734025,2.817578589
CDS,SATW20_00570,1,61639,61992,354,"2,3",2.4252184126,1.8598490247,2.8206680392
CDS,SATW20_00580,1,61989,62669,681,"2,3",2.5611542218,2.2443002085,2.8129598609
IG,,1,62670,62756,87,3,2.7619684852,2.4715601658,3.0523768047
CDS,SATW20_00590,1,62757,63143,387,3,2.654455618,2.3231429778,3.1389061261
IG,,1,63144,63200,57,3,2.5704225724,0.0369498245,2.5333491699
CDS,SATW20_00600,1,63201,64844,1644,3,2.5973189624,2.3645852263,2.8700774346
IG,,1,64845,64925,81,"2,3",1.8227756222,1.4705782986,2.1749729459
CDS,SATW20_00610,1,64926,65576,651,"2,3,4",2.6586925783,2.1164675859,3.2555390503
IG,,1,65577,65770,194,3,2.2491197508,2.1873307467,2.310908755
CDS,SATW20_00620,-1,65771,66319,549,3,2.6180883756,2.340726363,2.9024237187
IG,,1,66320,66404,85,"3,5",3.9544962652,3.250101618,4.6588909125
CDS,SATW20_00630,-1,66405,67079,675,"3,5",3.0841540068,2.4467739481,3.712760027
IG,,1,67080,67511,432,"1,3",1.1492754771,0.8464475678,1.674770361
CDS,SATW20_00631,-1,67512,67844,333,1,0.8897616597,0.7661836514,1.013339668
