,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
0,ENA|FN433596|FN433596.1,1,408,407,48.24078624078624,64,99.0,-4.924134118560087,-9.376760401748736,-1.0371751043464634
1,ENA|FN433596|FN433596.1,14401,20402,6001,0.0,0,95.22979503416097,-9.37676040174874,-9.376760401748736,
2,ENA|FN433596|FN433596.1,66566,68567,2001,0.0,0,98.15342328835582,-9.376760401748736,-9.376760401748736,
3,ENA|FN433596|FN433596.1,100007,102008,2001,0.0,0,98.21939030484758,-9.376760401748736,-9.376760401748736,
4,ENA|FN433596|FN433596.1,141700,145701,4001,0.0,0,94.9347663084229,-9.376760401748736,-9.376760401748736,
5,ENA|FN433596|FN433596.1,163029,163036,7,144.57142857142858,146,98.0,4.103350324131259,4.236552999288176,0.5609288085214978
6,ENA|FN433596|FN433596.1,163196,167197,4001,0.0,0,96.79180204948763,-9.376760401748736,-9.376760401748736,
7,ENA|FN433596|FN433596.1,190248,190285,37,147.51351351351352,154,96.0,4.6642265884096705,5.281638988123487,0.6197408129240347
8,ENA|FN433596|FN433596.1,196411,202412,6001,0.0,0,93.64255957340443,-9.37676040174874,-9.376760401748736,
9,ENA|FN433596|FN433596.1,245223,247224,2001,0.0,0,99.60219890054972,-9.376760401748736,-9.376760401748736,
10,ENA|FN433596|FN433596.1,271499,273500,2001,0.0,0,98.0,-9.376760401748736,-9.376760401748736,
11,ENA|FN433596|FN433596.1,315793,317794,2001,0.0,0,98.2088955522239,-9.376760401748736,-9.376760401748736,
12,ENA|FN433596|FN433596.1,353967,361968,8001,0.0,0,88.38370203724534,-9.376760401748738,-9.376760401748736,
13,ENA|FN433596|FN433596.1,384246,387247,3001,0.0,0,98.0,-9.37676040174874,-9.376760401748736,
14,ENA|FN433596|FN433596.1,414844,419845,5001,0.0,0,94.64787042591482,-9.376760401748738,-9.376760401748736,
15,ENA|FN433596|FN433596.1,464885,471886,7001,0.0,0,92.50507070418512,-9.37676040174874,-9.376760401748736,
16,ENA|FN433596|FN433596.1,500526,507527,7001,0.0,0,92.28310241394087,-9.37676040174874,-9.376760401748736,
17,ENA|FN433596|FN433596.1,536207,540208,4001,0.0,0,95.0,-9.376760401748736,-9.376760401748736,
18,ENA|FN433596|FN433596.1,567176,575177,8001,0.0,0,88.80889888763905,-9.376760401748738,-9.376760401748736,
19,ENA|FN433596|FN433596.1,616387,619388,3001,0.0,0,98.92135954681773,-9.37676040174874,-9.376760401748736,
