,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
0,chr3,1,9803,9802,0.0,0.0,4.132323232323232,-4.009999999999998,-4.01,
1,chr3,10301,10603,302,21.067500000000003,33.39,4.132499999999999,12.260803688489647,21.055133872739056,2.3499324005552413
2,chr3,11101,11503,402,0.0,0.0,4.145999999999999,-4.01,-4.01,
3,chr3,187201,192603,5402,0.0,0.0,5.445636363636362,-4.009999999999998,-4.01,
4,chr3,482901,483503,602,0.0,0.0,5.224285714285714,-4.009999999999999,-4.01,
5,chr3,506201,506303,102,0.0,0.0,5.192500000000001,-4.01,-4.01,
6,chr3,520001,520103,102,0.0,0.0,5.17,-4.01,-4.01,
7,chr3,708301,708303,2,16.3,16.3,5.33,6.22225341506473,6.22225341506473,1.612664526359264
8,chr3,941001,941003,2,0.0,0.0,5.29,-4.01,-4.01,
9,chr3,1607701,1607803,102,0.0,0.0,5.3,-4.01,-4.01,
10,chr3,1658101,1658403,302,17.9225,22.06,5.253749999999999,7.269162577808462,9.610473789157846,1.7703524357069453
11,chr3,1808501,1808503,2,15.63,15.63,5.2,6.067047232486058,6.067047232486058,1.58773424997121
12,chr3,2007701,2007703,2,16.77,16.77,5.29,6.5539557293714665,6.5539557293714665,1.6645430614503205
13,chr3,2098801,2098903,102,0.0,0.0,5.25,-4.01,-4.01,
14,chr3,2270001,2270103,102,0.0,0.0,5.44,-4.01,-4.01,
15,chr3,2705501,2705503,2,0.0,0.0,5.33,-4.01,-4.01,
16,chr3,3069501,3069503,2,15.92,15.92,5.285,6.08639087118604,6.08639087118604,1.5908649591609658
17,chr3,3370501,3370603,102,0.0,0.0,5.5,-4.01,-4.01,
18,chr3,3758301,3758303,2,16.0,16.0,5.225,6.234220326119273,6.234220326119273,1.6145689628064797
19,chr3,3790201,3790203,2,19.06,19.06,5.22,7.97948614781693,7.97948614781693,1.8684264073400574
20,chr3,3799401,3799503,102,0.0,0.0,5.2275,-4.01,-4.01,
