,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
0,ENA|FN433596|FN433596.1,1,404,403,44.4863523573201,65,100.0,-5.721750091324202,-10.30002104066564,-1.1685652847922987
1,ENA|FN433596|FN433596.1,18333,18334,1,61.0,61,100.0,-4.022263636177657,-4.022263636177657,-0.7131188522118385
2,ENA|FN433596|FN433596.1,69299,69322,23,136.08695652173913,139,99.0,3.846706877178079,4.149528209604765,0.4590283656833582
3,ENA|FN433596|FN433596.1,88177,88178,1,141.0,141,101.0,4.067188731007882,4.067188731007882,0.4813398696469987
4,ENA|FN433596|FN433596.1,137467,137468,1,137.0,137,98.0,4.086943904380426,4.086943904380426,0.48332223884531866
5,ENA|FN433596|FN433596.1,239355,239375,20,143.45,148,101.0,4.316831737678804,4.780454464353377,0.5061926751295073
6,ENA|FN433596|FN433596.1,286136,286143,7,139.0,140,99.0,4.149528209604765,4.253481801333329,0.4895844526438978
7,ENA|FN433596|FN433596.1,340312,340314,2,141.5,142,101.0,4.118136283389703,4.169083835771524,0.4864467600800875
8,ENA|FN433596|FN433596.1,448483,448506,23,141.65217391304347,145,101.0,4.133642060201561,4.47476915006245,0.48799744971671005
9,ENA|FN433596|FN433596.1,548473,548480,7,61.57142857142857,63,100.0,-3.963455604285497,-4.125177691988935,-0.6996670527432308
10,ENA|FN433596|FN433596.1,582152,582161,9,143.22222222222223,145,101.0,4.293622297149309,4.47476915006245,0.503900064167544
11,ENA|FN433596|FN433596.1,629506,629507,1,139.0,139,100.0,4.00503271710206,4.00503271710206,0.47508488294878265
12,ENA|FN433596|FN433596.1,819731,819732,1,140.0,140,100.0,4.107946772913339,4.107946772913339,0.48542682717024166
13,ENA|FN433596|FN433596.1,895847,895848,1,139.0,139,100.0,4.00503271710206,4.00503271710206,0.47508488294878265
14,ENA|FN433596|FN433596.1,897593,897594,1,60.0,60,99.0,-4.062805536951797,-4.062805536951797,-0.722466024471091
15,ENA|FN433596|FN433596.1,925326,925327,1,141.0,141,101.0,4.067188731007882,4.067188731007882,0.4813398696469987
