,Unnamed: 0,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
1,1,ENA|FN433596|FN433596.1,369326,369331,5,32.4,33,64.0,-3.9848450019166486,-4.033563242764007,-0.9820780920027375
2,2,ENA|FN433596|FN433596.1,440644,440659,15,99.4,103,64.0,4.1754603400158254,4.613924507642048,0.6351739466749239
3,3,ENA|FN433596|FN433596.1,565575,565577,2,98.0,98,64.0,4.004946497050073,4.004946497050073,0.6147098441152081
4,4,ENA|FN433596|FN433596.1,955823,955864,41,101.58536585365853,106,64.0,4.44162829001115,4.9793113139972345,0.6665487756348262
5,5,ENA|FN433596|FN433596.1,1186272,1186284,12,100.83333333333331,103,65.0,4.161094704894169,4.420925322746745,0.6334610184123459
6,6,ENA|FN433596|FN433596.1,1379024,1379029,5,99.2,100,64.0,4.151101219592147,4.248537701286863,0.632268215499513
7,7,ENA|FN433596|FN433596.1,1393807,1393828,21,97.0,100,63.0,4.070677456923494,4.441864053855744,0.6226329186872113
8,8,ENA|FN433596|FN433596.1,1962704,1962705,1,100.0,100,65.0,4.061159851873948,4.061159851873948,0.6214883767462702
9,9,ENA|FN433596|FN433596.1,2017698,2017706,8,99.0,100,64.0,4.126742099168468,4.248537701286863,0.6293566200796097
10,10,ENA|FN433596|FN433596.1,2354104,2354117,13,97.6153846153846,100,64.0,3.9581020346968447,4.248537701286863,0.6090366357000138
11,11,ENA|FN433596|FN433596.1,2823981,2823991,10,97.3,99,64.0,3.919689575567197,4.126742099168468,0.6043678998937492
12,12,ENA|FN433596|FN433596.1,2977121,2977132,11,31.72727272727273,33,63.0,-4.005443046026715,-4.2191565412301335,-0.9896283159275616
13,13,ENA|FN433596|FN433596.1,3040447,3040455,8,98.375,100,64.0,4.050619847844471,4.248537701286863,0.6202198255074864
1,1,ENA|FN433596|FN433596.1,32713,32725,12,139.58333333333334,142,99.0,3.9443676049401097,4.185257720025649,0.4956262594317314
2,2,ENA|FN433596|FN433596.1,300364,300378,14,141.35714285714286,144,100.0,3.980275658548426,4.241077774279954,0.4993447852151834
3,3,ENA|FN433596|FN433596.1,325632,325649,17,142.64705882352942,146,100.0,4.107566993253639,4.438441537536244,0.5124500009367883
4,4,ENA|FN433596|FN433596.1,438256,438268,12,59.58333333333334,62,100.0,-4.0893177331626465,-4.245564045740542,-0.7470192588301292
5,5,ENA|FN433596|FN433596.1,687792,687793,1,139.0,139,98.0,4.027602683410904,4.027602683410904,0.504231228608299
6,6,ENA|FN433596|FN433596.1,724250,724255,5,58.6,59,98.0,-4.068339442000198,-4.128756920548043,-0.7418810845803225
7,7,ENA|FN433596|FN433596.1,858099,858110,11,63.18181818181818,66,101.0,-3.795944167431207,-4.106823182461366,-0.6767739337782224
8,8,ENA|FN433596|FN433596.1,946405,946409,4,144.25,145,101.0,4.124809022658673,4.198087647630068,0.5142160258936876
9,9,ENA|FN433596|FN433596.1,1234984,1235007,23,143.2173913043478,147,99.0,4.306605664056747,4.683651061581938,0.5327062635897322
10,10,ENA|FN433596|FN433596.1,1329637,1329665,28,140.25,144,100.0,3.8710207181744094,4.241077774279954,0.4880007708340682
11,11,ENA|FN433596|FN433596.1,1335261,1335289,28,141.92857142857142,144,100.0,4.03666530519308,4.241077774279954,0.5051650454173413
12,12,ENA|FN433596|FN433596.1,1482378,1482381,3,142.33333333333334,143,100.0,4.076607971566378,4.142395892651808,0.5092735691246095
13,13,ENA|FN433596|FN433596.1,1515433,1515440,7,142.28571428571428,143,101.0,3.932888814400258,4.002677981039682,0.4944355272586821
14,14,ENA|FN433596|FN433596.1,1607292,1607294,2,60.0,60,100.0,-4.048200282484252,-4.048200282484252,-0.7369655941662062
15,15,ENA|FN433596|FN433596.1,1640650,1640721,71,134.88732394366198,140,98.0,3.6134734877308463,4.1282984809906464,0.4609011228346231
16,16,ENA|FN433596|FN433596.1,1692906,1692911,5,138.6,140,98.0,3.987324364379009,4.1282984809906464,0.5000736031346429
17,17,ENA|FN433596|FN433596.1,1890939,1890943,4,139.0,140,98.0,4.027602683410905,4.1282984809906464,0.504231228608299
18,18,ENA|FN433596|FN433596.1,2179170,2179171,1,142.0,142,99.0,4.185257720025649,4.185257720025649,0.5203904994250723
19,19,ENA|FN433596|FN433596.1,2340450,2340466,16,141.875,143,100.0,4.031378775820143,4.142395892651808,0.5046203924035526
20,20,ENA|FN433596|FN433596.1,2343929,2343937,8,143.75,146,101.0,4.075956606011077,4.295792480925262,0.5092066630799428
21,21,ENA|FN433596|FN433596.1,2435546,2435567,21,143.95238095238096,149,100.0,4.236378637059565,4.73448718242068,0.5255916510742222
22,22,ENA|FN433596|FN433596.1,2435960,2435963,3,141.33333333333334,142,100.0,3.977926089938233,4.043714011023663,0.4991017640673183
23,23,ENA|FN433596|FN433596.1,2532628,2532632,4,141.25,142,100.0,3.969702599802553,4.043714011023663,0.4982508675278256
24,24,ENA|FN433596|FN433596.1,2693241,2693244,3,145.0,145,102.0,4.059193521867295,4.059193521867295,0.5074837480434389
