,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
0,ENA|FN433596|FN433596.1,1,18,17,308.4117647058824,362,517.0,-5.479522143369158,-7.0301415826038545,-0.7453064810489187
1,ENA|FN433596|FN433596.1,5375,5401,26,354.84615384615387,365,517.0,-4.267606173420456,-4.837780632874004,-0.5429706113903708
2,ENA|FN433596|FN433596.1,6202,6238,36,320.8333333333333,363,517.0,-5.155324976783289,-6.11665785354975,-0.6883402405664649
3,ENA|FN433596|FN433596.1,10419,10442,23,333.9130434782609,363,517.0,-4.813950622550854,-5.907861572623099,-0.630691830763429
4,ENA|FN433596|FN433596.1,24149,24251,102,356.8333333333333,400,516.0,-4.1976929061911985,-5.396239871660626,-0.5321206757589009
5,ENA|FN433596|FN433596.1,26043,26046,3,354.3333333333333,358,516.0,-4.263068195216802,-4.350235247250943,-0.5422638746133057
6,ENA|FN433596|FN433596.1,31021,31068,47,352.7659574468085,370,515.6276595744681,-4.29727132285823,-4.664036634573848,-0.5476183106629451
7,ENA|FN433596|FN433596.1,36531,36532,1,67.0,67,516.0,-11.776868080559689,-11.776868080559689,-2.9451380649654815
8,ENA|FN433596|FN433596.1,48296,48368,72,765.1805555555555,841,515.0,6.5194876785857545,8.50602479444381,0.5712277806981565
9,ENA|FN433596|FN433596.1,50294,50295,1,362.0,362,515.0,-4.044202729225838,-4.044202729225838,-0.5085827349873755
10,ENA|FN433596|FN433596.1,50596,50597,1,362.0,362,515.0,-4.044202729225838,-4.044202729225838,-0.5085827349873755
11,ENA|FN433596|FN433596.1,50916,50956,40,304.1,363,515.0,-5.561234406930375,-6.611890197534033,-0.7600266159271453
12,ENA|FN433596|FN433596.1,53784,53787,3,348.3333333333333,358,515.0,-4.402281593853852,-4.594421472434737,-0.5641038958234919
13,ENA|FN433596|FN433596.1,53795,53802,7,332.85714285714283,360,515.0,-4.807771597352473,-5.301845570846179,-0.6296693045865424
14,ENA|FN433596|FN433596.1,54431,54432,1,62.0,62,515.0,-11.904470489352967,-11.904470489352967,-3.0542323116837053
15,ENA|FN433596|FN433596.1,58025,58049,24,350.4166666666667,361,515.0,-4.347696401075191,-4.594421472434737,-0.5555010376492302
16,ENA|FN433596|FN433596.1,59852,59853,1,53.0,53,515.0,-12.14027852215678,-12.14027852215678,-3.2805081675073815
17,ENA|FN433596|FN433596.1,60492,60518,26,347.65384615384613,366,515.0,-4.420084764421661,-5.01363575297485,-0.5669208818960536
18,ENA|FN433596|FN433596.1,60783,60794,11,346.09090909090907,361,515.0,-4.461035110444701,-4.7516268276372795,-0.5734213861456161
19,ENA|FN433596|FN433596.1,61955,61975,20,266.95,311,515.0,-6.53459756455945,-7.502720543681774,-0.9480028832934316
20,ENA|FN433596|FN433596.1,62192,62224,32,300.6875,363,515.0,-5.65064495270182,-6.63809109006779,-0.776307537988359
21,ENA|FN433596|FN433596.1,63386,63678,292,364.791095890411,412,515.0,-3.971073525749768,-4.777827720171038,-0.4975019168050517
22,ENA|FN433596|FN433596.1,65008,65374,366,328.8633879781421,381,515.0,-4.912411539743345,-7.764729469019345,-0.6470840289339098
23,ENA|FN433596|FN433596.1,66231,66376,145,158.91724137931035,366,514.0,-9.357051536528905,-13.528925826445906,-1.6934927041911711
24,ENA|FN433596|FN433596.1,66578,66582,4,362.75,366,514.0,-4.006061060279566,-4.104505561652754,-0.5027927451271335
25,ENA|FN433596|FN433596.1,68584,74153,5569,56.120667983479976,434,514.0156221942898,-12.05565351274864,-13.528925826445906,-3.1952081210867
26,ENA|FN433596|FN433596.1,74735,74798,63,299.015873015873,363,514.0,-5.679200887321647,-8.042285616580255,-0.7815462886631265
27,ENA|FN433596|FN433596.1,74873,75124,251,199.23505976095618,359,514.0,-8.298633529319362,-13.476422092380206,-1.3672968159658232
28,ENA|FN433596|FN433596.1,87846,87860,14,321.5,350,515.0,-5.1053388768430015,-5.956867884190106,-0.6797536947426335
29,ENA|FN433596|FN433596.1,88604,88621,17,366.3529411764706,373,515.0,-3.9301517852553665,-4.096604514293352,-0.49133823424188316
