,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
0,ENA|FN433596|FN433596.1,1,380,379,47.445910290237464,64,99.0,-4.837358151379067,-9.427543518762835,-1.0611447890159706
1,ENA|FN433596|FN433596.1,32240,38241,6001,201.17147142142977,233,107.46925512414597,8.501943050730938,11.23571460794324,0.9045017361371234
2,ENA|FN433596|FN433596.1,56948,64949,8001,200.87526559180102,231,110.98125234345707,7.9086695969974885,10.32670861739072,0.8559839434262574
3,ENA|FN433596|FN433596.1,81221,87222,6001,198.65555740709883,221,106.47075487418763,8.443664070465912,10.354681220245652,0.8998119445843659
4,ENA|FN433596|FN433596.1,142073,144074,2001,198.48775612193904,228,99.0,9.775283198700967,12.630464376152432,1.0035495859955232
5,ENA|FN433596|FN433596.1,163029,163037,8,144.375,146,102.0,4.129296182519017,4.2818839886806295,0.5012517943319243
6,ENA|FN433596|FN433596.1,175390,182391,7001,199.0867018997286,231,106.22539637194687,8.523076198892623,11.249804511603504,0.9062681317401262
7,ENA|FN433596|FN433596.1,190254,190283,29,148.58620689655172,154,105.0,4.126092937175569,4.619924666946358,0.5009108703166879
8,ENA|FN433596|FN433596.1,196083,201084,5001,199.74245150969807,225,102.93281343731253,9.158144326872048,11.494877102052934,0.9564380180291827
9,ENA|FN433596|FN433596.1,232109,240110,8001,203.04299462567178,241,111.23697037870267,8.056791207501464,11.181871047527238,0.8681488948996277
10,ENA|FN433596|FN433596.1,269982,277983,8001,200.86301712285965,229,108.53830771153606,8.297652682341159,10.880980562849572,0.8880076396560564
11,ENA|FN433596|FN433596.1,306884,307885,1001,197.6153846153846,210,101.0,9.312302307461072,10.48673406223805,0.9683399740079299
12,ENA|FN433596|FN433596.1,337913,337915,2,142.0,142,101.0,4.038301321723475,4.038301321723475,0.49153563675288725
13,ENA|FN433596|FN433596.1,348106,350107,2001,199.72763618190905,227,100.00099950024988,9.701835424118311,12.314106105027987,0.9980195516914205
14,ENA|FN433596|FN433596.1,369091,369092,1,139.0,139,99.0,4.020101645242522,4.020101645242522,0.4895844526438978
15,ENA|FN433596|FN433596.1,382706,382707,1,139.0,139,99.0,4.020101645242522,4.020101645242522,0.4895844526438978
16,ENA|FN433596|FN433596.1,396916,404381,7465,198.80790354989952,226,109.48559946416611,7.978770048072517,10.614930029029324,0.8606339859482275
17,ENA|FN433596|FN433596.1,404917,410773,5856,96.62465846994536,121,185.8741461748634,-4.449579282163767,-5.6592212036694605,-0.9438628003769659
18,ENA|FN433596|FN433596.1,412382,418383,6001,197.59756707215465,230,105.62006332277954,8.4974566483643,11.55244143391973,0.9036812723258618
19,ENA|FN433596|FN433596.1,475733,477734,2001,201.73163418290855,220,101.30334832583708,9.644644034112506,11.245373208180942,0.9937554757545309
20,ENA|FN433596|FN433596.1,491709,493710,2001,200.21689155422288,223,101.0,9.55900293274167,11.719522674395249,0.9872084011444148
21,ENA|FN433596|FN433596.1,527789,533790,6001,199.225295784036,228,103.33527745375771,9.037592636594459,11.773842710330477,0.9470679816124615
22,ENA|FN433596|FN433596.1,556520,556524,4,138.5,140,98.0,4.108456089683756,4.255055363421445,0.4990323219339801
23,ENA|FN433596|FN433596.1,575025,581026,6001,199.85769038493584,230,106.34110981503083,8.5759196770847,11.354517047573669,0.9102736596189733
24,ENA|FN433596|FN433596.1,600543,602544,2001,202.896051974013,230,100.0,10.005473538811803,12.601440681553855,1.0207407928770864
25,ENA|FN433596|FN433596.1,635893,637894,2001,205.11844077961018,226,100.0,10.218329920922503,12.218327912852695,1.0364572003762642
26,ENA|FN433596|FN433596.1,696339,702340,6001,199.77453757707048,227,104.74870854857524,8.839363273181425,11.477888811805261,0.9314402580173856
27,ENA|FN433596|FN433596.1,714634,717635,3001,197.58513828723758,223,101.35388203932023,9.24398295487695,11.51219849603095,0.9630730884397457
28,ENA|FN433596|FN433596.1,760771,762772,2001,201.48425787106447,224,101.0,9.679187145267354,11.81435256763811,0.9963118312424593
29,ENA|FN433596|FN433596.1,785344,792345,7001,199.75103556634767,225,107.00771318383089,8.451421374058315,10.902733122218526,0.9004881917673057
30,ENA|FN433596|FN433596.1,801137,801139,2,142.0,142,101.0,4.038301321723475,4.038301321723475,0.49153563675288725
31,ENA|FN433596|FN433596.1,841729,842730,1001,202.76423576423576,227,100.39260739260739,9.917526391049895,12.314106105027987,1.0141501698830502
32,ENA|FN433596|FN433596.1,873361,875362,2001,201.27736131934034,224,101.0,9.659567167355037,11.81435256763811,0.9948296212145787
33,ENA|FN433596|FN433596.1,881006,881025,19,141.52631578947367,144,101.0,3.9933818986084364,4.227961108209198,0.4867150436774927
34,ENA|FN433596|FN433596.1,893798,898799,5001,199.5850829834033,236,103.625074985003,9.01885887352101,12.306738551783733,0.9456307517964145
35,ENA|FN433596|FN433596.1,909515,909530,15,137.0,140,99.0,3.8266103479187032,4.116847293904431,0.46867546288091716
36,ENA|FN433596|FN433596.1,930872,930912,40,141.55,144,99.0,4.26680304933039,4.503829888552068,0.5158113189387752
37,ENA|FN433596|FN433596.1,956400,962401,6001,200.20379936677222,236,105.31594734210965,8.78099038300863,12.0997453892071,0.9267454418863976
38,ENA|FN433596|FN433596.1,977433,979434,2001,198.64367816091954,228,101.15642178910545,9.382072343349433,12.19367214060955,0.9735949698612981
39,ENA|FN433596|FN433596.1,1007849,1013850,6001,198.76787202132977,226,106.2037993667722,8.498277474461878,10.993089907289555,0.9042492062878927
40,ENA|FN433596|FN433596.1,1052980,1055981,3001,200.53648783738754,231,103.0,9.220050918370175,12.05280831860802,0.9612204231257326
41,ENA|FN433596|FN433596.1,1088769,1093770,5001,198.04199160167965,226,104.58248350329934,8.710204203066038,11.385794396252098,0.9211651277432364
42,ENA|FN433596|FN433596.1,1100665,1100675,10,57.5,59,101.0,-3.9748246572983077,-4.022239603919739,-0.8127214318074196
43,ENA|FN433596|FN433596.1,1118024,1123025,5001,200.09518096380725,235,104.86082783443311,8.850584444629488,12.21464413623057,0.9322105816854118
44,ENA|FN433596|FN433596.1,1158000,1163001,5001,200.25874825034992,222,105.62947410517896,8.732621211592287,10.631662767005443,0.9228528174181706
45,ENA|FN433596|FN433596.1,1201008,1209009,8001,202.56155480564928,230,110.78377702787152,8.086756172247881,10.59880575425234,0.8706137523922298
46,ENA|FN433596|FN433596.1,1224342,1224384,42,142.11904761904762,147,99.0,4.321855930354668,4.794066834537795,0.5215994955914331
47,ENA|FN433596|FN433596.1,1247687,1255688,8001,202.3185851768529,237,108.19822522184727,8.482032405779883,11.590448653036908,0.9029520185199345
48,ENA|FN433596|FN433596.1,1276330,1284331,8001,203.77315335583052,238,108.58130233720784,8.547499041941455,11.485492937860108,0.9081882993291489
49,ENA|FN433596|FN433596.1,1319994,1323995,4001,195.81954511372157,222,102.6005998500375,8.852178871112804,11.21591149377539,0.9324856045843025
50,ENA|FN433596|FN433596.1,1342634,1345635,3001,200.04731756081307,234,100.19260246584471,9.695959242675967,12.984553450255016,0.9975652899170026
51,ENA|FN433596|FN433596.1,1384007,1384008,1,138.0,138,98.0,4.059589665104527,4.059589665104527,0.49381461266296084
52,ENA|FN433596|FN433596.1,1397567,1403568,6001,200.6833861023163,229,106.6873854357607,8.589121710850964,11.264160262502639,0.9115315817661096
53,ENA|FN433596|FN433596.1,1426567,1427568,1001,201.27972027972027,230,101.0,9.659790867316032,12.383331927095274,0.9948465294275869
54,ENA|FN433596|FN433596.1,1451719,1458720,7001,198.19825739180118,226,107.08155977717469,8.300414426362453,10.802242865924578,0.8882342191413457
55,ENA|FN433596|FN433596.1,1498372,1502373,4001,199.3626593351662,226,104.65908522869283,8.81698924726101,11.187572130394814,0.9296976637132561
56,ENA|FN433596|FN433596.1,1525833,1525843,10,136.5,139,98.0,3.912990391366838,4.157322514262985,0.47804729680464414
57,ENA|FN433596|FN433596.1,1549282,1556283,7001,200.42422511069847,227,108.34966433366662,8.289574449377158,10.703613540302738,0.8873622124498579
58,ENA|FN433596|FN433596.1,1573797,1581798,8001,198.9472565929259,240,107.74840644919385,8.256901747317176,11.856499186857159,0.8847194722955154
59,ENA|FN433596|FN433596.1,1609872,1609873,1,141.0,141,100.0,4.0771815779530485,4.0771815779530485,0.4956951626240688
60,ENA|FN433596|FN433596.1,1610332,1612333,2001,196.30684657671165,226,100.0,9.374371357986615,12.218327912852695,0.9731104904302593
61,ENA|FN433596|FN433596.1,1617974,1617983,9,142.44444444444446,144,100.0,4.2155278555395785,4.364516154478919,0.5103993554017041
62,ENA|FN433596|FN433596.1,1633507,1635508,2001,195.8910544727636,229,101.0,9.148784264120875,12.288502033852412,0.9556962242687995
63,ENA|FN433596|FN433596.1,1675135,1675140,5,141.8,142,100.0,4.15380413169328,4.1729597701283385,0.5038575325774293
64,ENA|FN433596|FN433596.1,1689808,1695809,6001,199.68021996333945,230,106.19946675554074,8.581716268997473,11.55244143391973,0.9109149063964352
65,ENA|FN433596|FN433596.1,1711367,1719368,8001,199.8875140607424,236,110.04724409448819,7.9689642346428435,10.936108150938455,0.8610653408290392
66,ENA|FN433596|FN433596.1,1750006,1752007,2001,198.8230884557721,223,101.0,9.426828733714013,11.719522674395249,0.9771300075172952
67,ENA|FN433596|FN433596.1,1781595,1782596,1001,199.2947052947053,215,100.0,9.660543064471225,11.164767798924506,0.9949033822966925
68,ENA|FN433596|FN433596.1,1794311,1794313,2,141.0,141,100.0,4.0771815779530485,4.0771815779530485,0.4956951626240688
69,ENA|FN433596|FN433596.1,1840720,1847721,7001,201.26667618911583,227,107.24810741322668,8.54509030564467,10.703613540302738,0.9081561354011496
70,ENA|FN433596|FN433596.1,1864535,1869536,5001,196.61107778444313,224,105.15516896620676,8.480665729645427,10.812376337147496,0.9028248422995857
71,ENA|FN433596|FN433596.1,1898502,1905503,7001,198.48093129552922,223,108.09855734895015,8.160143270715116,10.450949196863384,0.8766531402271144
72,ENA|FN433596|FN433596.1,1945914,1945936,22,141.63636363636363,145,100.0,4.1381313366100505,4.460294346654209,0.5021917096496471
73,ENA|FN433596|FN433596.1,1948927,1949928,1001,201.5894105894106,218,100.01698301698302,9.876994901014905,11.452102375450378,1.0111748642976177
74,ENA|FN433596|FN433596.1,1990881,1994882,4001,200.64883779055236,238,103.56510872281929,9.130175438007766,12.703728071255622,0.9541347614365414
75,ENA|FN433596|FN433596.1,2011004,2015005,4001,199.99275181204698,221,103.96375906023493,8.997430606471337,10.925322318486282,0.9438670104469152
76,ENA|FN433596|FN433596.1,2040626,2040629,3,139.33333333333334,140,99.0,4.052350194796492,4.116847293904431,0.493040011280117
77,ENA|FN433596|FN433596.1,2065346,2072347,7001,201.60005713469505,242,107.50607056134838,8.534578174603169,12.234440132097138,0.9070779207152402
78,ENA|FN433596|FN433596.1,2083564,2090565,7001,201.90958434509355,234,107.08584487930295,8.631321375748588,11.518341499010859,0.9149416045247747
79,ENA|FN433596|FN433596.1,2116276,2117277,1001,203.10189810189812,223,101.0,9.832587795662665,11.719522674395249,1.007848429519623
80,ENA|FN433596|FN433596.1,2163037,2168038,5001,200.58188362327533,233,104.98900219956009,8.870990121008333,11.826093411563415,0.9339530981870059
81,ENA|FN433596|FN433596.1,2193798,2201799,8001,200.72240969878766,229,110.65379327584051,7.947906660394686,10.511734670456622,0.8591487873018379
82,ENA|FN433596|FN433596.1,2237553,2244554,7001,200.17268961576917,232,106.04356520497072,8.651005821662597,11.535230617715722,0.9165880749587467
83,ENA|FN433596|FN433596.1,2278670,2282671,4001,198.68932766808297,222,103.45688577855536,8.966632276990905,11.02993442159036,0.9414847124031368
84,ENA|FN433596|FN433596.1,2312381,2314382,2001,197.5967016491754,229,100.0,9.497911344995321,12.505662489378567,0.9825588651711082
85,ENA|FN433596|FN433596.1,2360613,2366614,6001,198.56457257123813,227,106.25062489585069,8.47330783415262,11.096354804513584,0.9021369172830103
86,ENA|FN433596|FN433596.1,2383586,2387587,4001,197.9832541864534,223,101.52211947013247,9.251289764504833,11.719522674395249,0.9635843158286574
87,ENA|FN433596|FN433596.1,2410374,2413375,3001,197.54848383872041,231,102.00666444518494,9.121131629815627,12.263400003288128,0.9535433623538487
88,ENA|FN433596|FN433596.1,2445925,2445942,17,54.529411764705884,57,100.0,-4.204815039557318,-4.4470775256477575,-0.8748935023995333
89,ENA|FN433596|FN433596.1,2473947,2481948,8001,199.70528683914512,232,111.82689663792026,7.680816791858221,10.511734670456622,0.8366052986986816
90,ENA|FN433596|FN433596.1,2506804,2511805,5001,202.59328134373126,231,105.8374325134973,8.90671843512572,11.444873832644694,0.9367363613043006
91,ENA|FN433596|FN433596.1,2522661,2528662,6001,196.28061989668387,224,105.45159140143309,8.400110458673723,11.005137478632356,0.8963368654319327
92,ENA|FN433596|FN433596.1,2570133,2577134,7001,200.13369518640195,232,108.75203542351093,8.200417533814743,10.958273531390626,0.8799216817489637
93,ENA|FN433596|FN433596.1,2605912,2610913,5001,200.8512297540492,233,105.82283543291342,8.75220739485234,11.625587402786753,0.9244763154523971
94,ENA|FN433596|FN433596.1,2633649,2635650,2001,198.7886056971514,229,102.0,9.238744009393745,12.075599626473833,0.9626659136806827
95,ENA|FN433596|FN433596.1,2681698,2686699,5001,200.1611677664467,234,104.36692661467707,8.942277465075993,12.122549720677407,0.9394975104140917
96,ENA|FN433596|FN433596.1,2708444,2713445,5001,200.67026594681064,241,103.8384323135373,9.084329713118908,12.767210629549552,0.950486355368977
97,ENA|FN433596|FN433596.1,2726172,2726173,1,139.0,139,99.0,4.020101645242522,4.020101645242522,0.4895844526438978
98,ENA|FN433596|FN433596.1,2769667,2771668,2001,201.01399300349826,224,100.0,9.825213333048612,12.026771528502119,1.0072959339120944
99,ENA|FN433596|FN433596.1,2801962,2808963,7001,198.0531352663905,227,106.96614769318668,8.306586905774209,11.08344669236058,0.888733250593363
100,ENA|FN433596|FN433596.1,2836737,2840738,4001,199.18770307423145,229,104.02049487628094,8.913116828468823,11.66207764291159,0.9372607781808583
101,ENA|FN433596|FN433596.1,2867950,2870951,3001,197.15928023992004,222,100.78440519826725,9.309023258785386,11.624692781152387,0.9680891976148793
102,ENA|FN433596|FN433596.1,2892572,2892593,21,141.95238095238096,145,100.0,4.1683989038342775,4.460294346654209,0.5054070474376839
103,ENA|FN433596|FN433596.1,2892933,2892956,23,142.08695652173913,147,100.0,4.181288308578363,4.651850731004789,0.5067741223139458
104,ENA|FN433596|FN433596.1,2912916,2916917,4001,195.96900774806298,224,103.28242939265184,8.745801711289687,11.40188856596042,0.9240306709782238
105,ENA|FN433596|FN433596.1,2936121,2938122,2001,200.91104447776112,224,101.84257871064467,9.466895713330535,11.6060986844381,0.9802160193990023
106,ENA|FN433596|FN433596.1,3042888,3043211,323,39.021671826625386,57,99.0,-5.6523665660238205,-9.427543518762835,-1.3431529357559948
