,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
0,ENA|FN433596|FN433596.1,1,25,24,674.625,863,1111.0,-7.305769526539149,-10.705095095456908,-0.7197011294164535
1,ENA|FN433596|FN433596.1,58557,59096,539,2202.230055658627,3004,1123.821892393321,17.90074416100705,31.23432451139678,0.9705517778850028
2,ENA|FN433596|FN433596.1,59139,59287,148,2964.0202702702704,4462,1124.75,30.49213678198702,55.30134187635666,1.3979509470285423
3,ENA|FN433596|FN433596.1,59300,59344,44,1530.4545454545455,1593,1124.0,6.755041526851178,7.792195496361487,0.4453181618567852
4,ENA|FN433596|FN433596.1,60173,67134,6961,3645.594742134751,6829,1129.656658526074,41.526839276185044,93.91678652550209,1.6902698402781051
5,ENA|FN433596|FN433596.1,68187,68204,17,1889.8823529411766,1946,1135.1764705882354,12.406550660156737,13.30491046755175,0.7353798367314996
6,ENA|FN433596|FN433596.1,68206,68282,76,1839.1973684210527,2121,1136.0,11.552574341923702,16.17617700332273,0.6951134720761285
7,ENA|FN433596|FN433596.1,68339,68835,496,2324.3508064516127,3079,1137.233870967742,19.469341926274183,31.805526754949074,1.0312988528048537
8,ENA|FN433596|FN433596.1,68858,68979,121,2711.471074380165,3488,1138.98347107438,25.747337286710323,38.45413706668694,1.2513289691419633
9,ENA|FN433596|FN433596.1,73437,74086,649,2397.329738058552,3135,1138.0,20.640857083281848,32.72271727435458,1.074927798878956
10,ENA|FN433596|FN433596.1,74108,74226,118,2173.406779661017,2632,1138.8728813559321,16.94499519116524,24.44653380744564,0.9323514924280528
11,ENA|FN433596|FN433596.1,87078,87097,19,2641.6315789473683,2931,1118.0,25.41611485148561,30.240290621302222,1.2405090837448085
12,ENA|FN433596|FN433596.1,87098,87203,105,2477.7238095238095,3283,1118.0,22.683543388222855,36.108622296190106,1.1480951918569373
13,ENA|FN433596|FN433596.1,87233,87898,665,3459.291729323308,3850,1117.130827067669,39.09257566555191,45.61876612602583,1.6306785347665824
14,ENA|FN433596|FN433596.1,88007,89299,1292,3499.112229102167,3989,1115.4729102167182,39.842838849663345,47.938164878113724,1.6493334602525334
15,ENA|FN433596|FN433596.1,107504,107730,226,882.5132743362832,953,1113.1858407079646,-3.847216316188259,-5.126063049977765,-0.3350045793994812
16,ENA|FN433596|FN433596.1,123235,123320,85,821.7529411764706,869,1111.0,-4.837486874628453,-5.739269711621464,-0.4350821966785843
17,ENA|FN433596|FN433596.1,128153,128290,137,818.4963503649635,881,1108.0,-4.854941842427376,-5.788493716167179,-0.43690999246704104
18,ENA|FN433596|FN433596.1,133690,133926,236,759.1567796610169,865,1103.0,-5.79525430660713,-6.913179224221632,-0.5389630266816161
19,ENA|FN433596|FN433596.1,161020,161079,59,816.8983050847457,870,1098.6101694915253,-4.7641901515192355,-5.547706918843782,-0.42745115671960143
20,ENA|FN433596|FN433596.1,191104,191166,62,868.8870967741935,893,1116.0,-4.112052054563829,-4.61120464263596,-0.3610963966904491
21,ENA|FN433596|FN433596.1,271111,271149,38,727.078947368421,855,1096.6315789473683,-6.265715064379161,-8.20837281128019,-0.5928949957999947
22,ENA|FN433596|FN433596.1,281944,281953,9,859.0,864,1102.0,-4.094920073419981,-4.230227671434433,-0.3593941874326941
23,ENA|FN433596|FN433596.1,318693,318738,45,818.7333333333333,869,1109.0,-4.863374300216761,-5.867294046374588,-0.4377938269864308
24,ENA|FN433596|FN433596.1,356567,356568,1,866.0,866,1112.0,-4.108243978080577,-4.108243978080577,-0.3607178579967825
25,ENA|FN433596|FN433596.1,419749,419785,36,866.1111111111111,881,1125.0,-4.274135822222209,-4.45822097408878,-0.37730097996156475
26,ENA|FN433596|FN433596.1,452144,452245,101,845.8316831683169,882,1109.0,-4.407940675981839,-4.858892515635699,-0.39081685852853143
27,ENA|FN433596|FN433596.1,483900,483918,18,813.4444444444445,865,1106.0,-4.915179907354677,-5.3102722484426295,-0.443235662480325
28,ENA|FN433596|FN433596.1,504341,504562,221,878.7013574660633,927,1097.5339366515836,-3.701234168524902,-4.415443809700114,-0.3208207219597614
29,ENA|FN433596|FN433596.1,511874,512084,210,889.6428571428571,968,1098.0,-3.5218278756171397,-4.534269266335299,-0.303579859934604
30,ENA|FN433596|FN433596.1,526874,526911,37,844.1621621621622,871,1105.0,-4.384642069098795,-4.910270801771987,-0.3884542996059989
31,ENA|FN433596|FN433596.1,538238,538253,15,862.8666666666667,878,1106.0,-4.0823027826346685,-4.299135451345498,-0.3581418343814256
32,ENA|FN433596|FN433596.1,562846,562862,16,837.0,856,1094.0,-4.36349452414062,-4.653125755996506,-0.3863132102422128
33,ENA|FN433596|FN433596.1,579442,579460,18,845.5,858,1089.0,-4.152540733272325,-4.434944091249454,-0.36512729430692353
34,ENA|FN433596|FN433596.1,587132,587133,1,850.0,850,1088.0,-4.062150264525858,-4.062150264525858,-0.3561438102252753
35,ENA|FN433596|FN433596.1,617310,617332,22,1326.0454545454545,1339,1090.0,4.051343550145705,4.272861780485562,0.28280209438748927
36,ENA|FN433596|FN433596.1,626734,626814,80,793.75,861,1091.0,-5.063164687923819,-5.947260626668898,-0.4588945097767167
37,ENA|FN433596|FN433596.1,866939,867007,68,857.8088235294117,882,1094.0,-4.008971865770312,-4.32942026156934,-0.3508846772254588
38,ENA|FN433596|FN433596.1,875934,875935,1,855.0,855,1091.0,-4.016770943998483,-4.016770943998483,-0.35165477655034694
39,ENA|FN433596|FN433596.1,923067,923129,62,819.3709677419355,851,1090.0,-4.612614291438725,-5.183246255706392,-0.41173945427511355
40,ENA|FN433596|FN433596.1,943130,943147,17,1337.0,1344,1090.0,4.238662474748883,4.358360044827263,0.2946713304290641
41,ENA|FN433596|FN433596.1,950520,950629,109,828.5688073394496,869,1091.0,-4.468320897377834,-5.144313590513947,-0.3969576875324509
42,ENA|FN433596|FN433596.1,972325,972326,1,845.0,845,1082.0,-4.067533415411512,-4.067533415411512,-0.3566772526572686
43,ENA|FN433596|FN433596.1,991335,991365,30,847.6666666666666,862,1078.0,-3.9674154645922033,-4.082682141317562,-0.3467882167835554
44,ENA|FN433596|FN433596.1,1009071,1009146,75,804.0933333333334,845,1082.0,-4.772195043878213,-5.5489765391436565,-0.4282656253317679
45,ENA|FN433596|FN433596.1,1063773,1063926,153,795.8562091503268,865,1083.0,-4.926747231601035,-6.714130967440923,-0.4444535415932501
46,ENA|FN433596|FN433596.1,1080588,1080639,51,681.4705882352941,845,1088.0,-6.949242120056523,-9.458442371460139,-0.6749552587484946
