,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
0,chrX,1,9903,9902,0.0,0.0,3.6759000000000004,-4.009999999999998,-4.01,
1,chrX,19801,19903,102,0.0,0.0,3.2125,-4.01,-4.01,
2,chrX,22601,22603,2,0.0,0.0,3.085,-4.01,-4.01,
3,chrX,29801,31803,2002,12.687777777777775,20.29,2.7597222222222215,10.27094779565143,18.09160049112712,2.2008444420177384
4,chrX,33901,35103,1202,10.031538461538462,13.2,2.5984615384615384,8.198980373536468,11.892332304070695,1.948813268197856
5,chrX,36501,39603,3102,9.148214285714285,18.17,2.40625,8.016990213983343,18.36189225492012,1.926703618814696
6,chrX,41001,41003,2,7.79,7.79,2.22,7.190395906509656,7.190395906509656,1.8110636517115632
7,chrX,42301,44503,2202,9.168260869565216,14.89,2.0945652173913043,9.6219725802339,17.255869416916912,2.129997289122364
8,chrX,44901,95003,50102,0.0,0.0,0.41394,-4.009999999999999,-4.01,
9,chrX,110301,110303,2,0.0,0.0,0.0,-4.01,-4.01,
10,chrX,122401,122503,102,0.0,0.0,0.0,-4.01,-4.01,
11,chrX,132501,132503,2,0.0,0.0,0.0,-4.01,-4.01,
12,chrX,133801,222203,88402,0.0,0.0,0.3173954802259886,-4.009999999999998,-4.01,
13,chrX,224001,224003,2,5.08,5.08,1.42,7.384608544321816,7.384608544321816,1.838937567267484
14,chrX,240801,241003,202,6.595000000000001,6.61,1.4249999999999998,10.365231134209171,10.395094844244733,2.210410740199441
15,chrX,245301,246003,702,0.0,0.0,1.4,-4.01,-4.01,
16,chrX,246301,246503,202,5.265000000000001,6.19,1.4,7.904496979314642,9.778978064582487,1.9110067040807508
17,chrX,249901,258803,8902,5.695,13.21,1.4148026315789475,8.660458638980796,23.627732802044413,2.0090950343196856
18,chrX,260801,273003,12202,11.141632653061226,64.81,1.6953061224489794,15.496448990074274,101.41043346050114,2.716342944978397
19,chrX,273701,273803,102,0.0,0.0,1.96,-4.01,-4.01,
20,chrX,274201,274803,602,9.217142857142859,15.37,1.9878571428571428,10.387441276844337,19.147462941048957,2.2131055298240354
21,chrX,277601,277703,102,0.0,0.0,2.0949999999999998,-4.01,-4.01,
22,chrX,278801,278803,2,6.75,6.75,2.1550000000000002,6.121512481290319,6.121512481290319,1.647199632849095
23,chrX,282401,282403,2,7.23,7.23,2.3,6.153366000715421,6.153366000715421,1.6523617860067428
24,chrX,283601,283603,2,0.0,0.0,2.3,-4.01,-4.01,
25,chrX,287601,287703,102,0.0,0.0,2.3975,-4.01,-4.01,
26,chrX,294201,294603,402,9.206666666666665,10.24,2.57,7.3984981345285235,8.539206643668981,1.8409105543430164
27,chrX,296801,297103,302,10.286666666666667,12.85,2.641666666666667,8.280926463190703,11.018186946763645,1.9612552215439651
28,chrX,298201,298803,602,9.656666666666666,10.33,2.688333333333333,7.425809511192593,8.129856576082602,1.8448132461147608
29,chrX,300301,300403,102,8.995000000000001,9.47,2.7225,6.608182074676586,7.094561264167667,1.7241912325345754
30,chrX,306801,306803,2,10.67,10.67,2.84,7.894079231372156,7.894079231372156,1.909597341319743
31,chrX,315501,316203,702,19.645,28.79,2.98875,15.889213314895732,24.55245768080231,2.7165480377470588
32,chrX,323501,323903,402,21.604000000000003,27.19,3.174,16.549708571739508,21.531045007426684,2.766924420116809
33,chrX,343201,343303,102,0.0,0.0,3.5275,-4.01,-4.01,
34,chrX,346001,346503,502,0.0,0.0,3.5658333333333334,-4.009999999999999,-4.01,
35,chrX,363201,363403,202,15.736666666666666,17.36,3.815,8.936833042377772,10.128145589790721,2.0443750200483066
36,chrX,373501,373603,102,0.0,0.0,3.9525,-4.01,-4.01,
37,chrX,438201,438203,2,0.0,0.0,4.06,-4.01,-4.01,
38,chrX,457401,457403,2,13.7,13.7,4.15,6.600844520208465,6.600844520208465,1.7229926516136018
39,chrX,468701,468703,2,0.0,0.0,4.2,-4.01,-4.01,
40,chrX,479901,480103,202,0.0,0.0,4.241666666666667,-4.01,-4.01,
41,chrX,481501,481803,302,17.005000000000003,21.07,4.24125,8.609321892446442,11.316824712056107,2.0033975759968654
42,chrX,485001,485103,102,0.0,0.0,4.23,-4.01,-4.01,
43,chrX,527301,528303,1002,14.287142857142857,18.82,4.3,6.661519264067893,9.65220611940661,1.7323088701934797
44,chrX,573001,573803,802,0.0,0.0,4.387777777777778,-4.01,-4.01,
45,chrX,588801,588803,2,0.0,0.0,4.39,-4.01,-4.01,
46,chrX,605601,606203,602,0.0,0.0,4.38,-4.009999999999999,-4.01,
47,chrX,619201,619503,302,0.0,0.0,4.4037500000000005,-4.01,-4.01,
48,chrX,644601,644603,2,0.0,0.0,4.38,-4.01,-4.01,
49,chrX,667801,668203,402,0.0,0.0,4.4,-4.01,-4.01,
50,chrX,725001,725203,202,16.735,17.34,4.41,8.001156192720558,8.390366336551377,1.9240179901290089
51,chrX,729201,729403,202,0.0,0.0,4.41,-4.01,-4.01,
52,chrX,730501,730503,2,0.0,0.0,4.41,-4.01,-4.01,
53,chrX,765501,765503,2,0.0,0.0,4.51,-4.01,-4.01,
54,chrX,818401,818703,302,0.0,0.0,4.4875,-4.01,-4.01,
55,chrX,844901,845303,402,0.0,0.0,4.41,-4.01,-4.01,
56,chrX,878301,878303,2,0.0,0.0,4.45,-4.01,-4.01,
57,chrX,913901,914003,102,0.0,0.0,4.3575,-4.01,-4.01,
58,chrX,917601,917603,2,0.0,0.0,4.38,-4.01,-4.01,
59,chrX,932001,932803,802,0.0,0.0,4.317777777777778,-4.01,-4.01,
60,chrX,977901,978303,402,0.0,0.0,4.41,-4.01,-4.01,
61,chrX,990701,990803,102,23.0,23.53,4.35,12.23566051333303,12.581324375468785,2.402546555095647
62,chrX,1000401,1000403,2,0.0,0.0,4.4,-4.01,-4.01,
63,chrX,1084101,1084103,2,0.0,0.0,4.25,-4.01,-4.01,
64,chrX,1106201,1106203,2,22.74,22.74,4.265,12.361665079857332,12.361665079857332,2.4146146075739576
65,chrX,1143501,1144103,602,18.468,27.08,4.234999999999999,9.60482644339778,15.354818486094164,2.1245937628298055
66,chrX,1146401,1146803,402,14.57,19.11,4.22,7.03037941315272,10.082563806123753,1.7876859733573276
67,chrX,1165301,1165503,202,0.0,0.0,4.22,-4.01,-4.01,
68,chrX,1167101,1167103,2,0.0,0.0,4.22,-4.01,-4.01,
69,chrX,1174301,1174303,2,0.0,0.0,4.22,-4.01,-4.01,
70,chrX,1175701,1176203,502,0.0,0.0,4.22,-4.009999999999999,-4.01,
71,chrX,1177601,1178403,802,0.0,0.0,4.2,-4.01,-4.01,
72,chrX,1183701,1183703,2,0.0,0.0,4.205,-4.01,-4.01,
73,chrX,1195901,1195903,2,0.0,0.0,4.18,-4.01,-4.01,
74,chrX,1212901,1213603,702,0.0,0.0,4.13,-4.01,-4.01,
75,chrX,1220401,1220403,2,12.86,12.86,4.1,6.133810495999662,6.133810495999662,1.6491948278225013
76,chrX,1235601,1236303,702,0.0,0.0,4.020625,-4.01,-4.01,
77,chrX,1248001,1248503,502,0.0,0.0,3.9499999999999997,-4.009999999999999,-4.01,
78,chrX,1284301,1284303,2,14.09,14.09,3.87,7.564370102036694,7.564370102036694,1.8642661401652263
79,chrX,1294901,1294903,2,12.98,12.98,3.885,6.713902540787808,6.713902540787808,1.7403038795914285
