,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
0,ENA|FN433596|FN433596.1,1,416,415,48.51084337349398,66,98.93253012048193,-5.733708438285629,-11.185088100009477,-1.0281377118530917
1,ENA|FN433596|FN433596.1,13833,15835,2002,47.00253549695741,81,99.62778904665315,-5.938583707771317,-8.714947176794325,-1.083809624043117
2,ENA|FN433596|FN433596.1,45719,45727,8,131.375,133,96.0,4.026541452524458,4.2146967181599875,0.45258445324102214
3,ENA|FN433596|FN433596.1,50662,58641,7979,51.59001895135818,79,95.58559696778269,-5.18525376101302,-8.637755272943851,-0.8897012699006172
4,ENA|FN433596|FN433596.1,88163,92165,4002,152.16016991504247,180,101.41329335332334,5.493538021484384,8.624952967359565,0.5853439877399205
5,ENA|FN433596|FN433596.1,112304,112328,24,135.83333333333334,139,99.0,4.066160781962863,4.4217113693953465,0.45633712831767426
6,ENA|FN433596|FN433596.1,115411,119413,4002,50.78605348662834,80,98.11772056985754,-5.431695868787984,-9.03001617210238,-0.950081349701375
7,ENA|FN433596|FN433596.1,163006,163057,51,138.41176470588235,146,99.0,4.35566482064628,5.207665299509259,0.48346614389434844
8,ENA|FN433596|FN433596.1,169369,171355,1986,51.737027707808565,75,99.0,-5.376099491528834,-7.816714113806997,-0.9362313516175697
9,ENA|FN433596|FN433596.1,190209,190289,80,139.5875,154,99.0,4.48767535995848,6.105898362496588,0.49566932431258376
10,ENA|FN433596|FN433596.1,207290,207293,3,133.0,134,97.0,4.055936049931435,4.170530216472344,0.45536959331406196
11,ENA|FN433596|FN433596.1,215394,220396,5002,51.8098,80,98.0,-5.308569912089418,-8.23604230392608,-0.9195567348265944
12,ENA|FN433596|FN433596.1,235194,235202,8,139.375,141,102.0,4.00355415762781,4.180641466461248,0.45040265283617154
13,ENA|FN433596|FN433596.1,235327,235329,2,65.0,66,102.0,-4.101595746671908,-4.210572552107871,-0.6500575289430413
14,ENA|FN433596|FN433596.1,242134,242143,9,66.44444444444444,70,103.0,-4.014484837472287,-4.170367517092661,-0.6324238544274257
15,ENA|FN433596|FN433596.1,248841,248843,2,65.5,66,102.0,-4.047107343953927,-4.101595746671909,-0.6390023404340452
16,ENA|FN433596|FN433596.1,251905,254897,2992,149.51804812834226,176,100.68048128342247,5.321867379380485,8.184729832529142,0.5705356226185974
17,ENA|FN433596|FN433596.1,279503,279535,32,134.90625,139,97.0,4.274381179900043,4.74350104917689,0.4759005352743265
18,ENA|FN433596|FN433596.1,289424,294426,5002,52.89149149149149,80,98.0,-5.18587922956472,-8.349467142236982,-0.889746090599605
19,ENA|FN433596|FN433596.1,319660,319662,2,131.5,132,96.0,4.041014934496421,4.098908862384277,0.4539564885711463
20,ENA|FN433596|FN433596.1,326800,326804,4,132.75,134,97.0,4.027287508296208,4.170530216472344,0.452655208617026
21,ENA|FN433596|FN433596.1,327533,334534,7001,54.64855176369372,80,96.12804703183252,-4.865717898971094,-8.29039170561672,-0.8147741601477952
22,ENA|FN433596|FN433596.1,365922,369924,4002,51.381216864428175,81,98.25574349911639,-5.37288478888171,-8.46289198054788,-0.9353006839058413
23,ENA|FN433596|FN433596.1,399549,402551,3002,47.46184605131623,70,97.0,-5.746237409265956,-8.549422269568566,-1.0312165313594863
24,ENA|FN433596|FN433596.1,425701,430703,5002,53.443243243243245,79,96.26326326326327,-5.013556553430256,-7.711452426738169,-0.8489777690763131
25,ENA|FN433596|FN433596.1,468706,469673,967,53.99689440993789,73,99.19151138716356,-5.133035946976541,-7.143039316566501,-0.8773402287532738
26,ENA|FN433596|FN433596.1,490744,495705,4961,148.1117886178862,173,103.0239837398374,4.795073986074184,7.484860528369123,0.5237062406950224
27,ENA|FN433596|FN433596.1,538091,545093,7002,50.31552635337809,73,93.96086273389515,-5.232773589276444,-7.87404813910406,-0.901056304778679
28,ENA|FN433596|FN433596.1,563231,565233,2002,145.56121939030484,178,100.06646676661668,4.983087183621075,8.404841399944353,0.5406674478289599
29,ENA|FN433596|FN433596.1,579036,579068,32,63.59375,68,100.0,-4.1162395049023655,-4.515707607328566,-0.6530431106211152
30,ENA|FN433596|FN433596.1,616586,622570,5984,152.33311036789297,180,103.04632107023411,5.247248856834633,8.240291975760165,0.5639365538158413
