,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
0,ENA|FN433596|FN433596.1,1085,1120,35,59.0,62,33.0,3.927721896259736,4.384358287002708,0.8382489300033877
1,ENA|FN433596|FN433596.1,58618,58674,56,72.125,82,36.0,5.01064778125088,6.388484668596858,1.0025025072031701
2,ENA|FN433596|FN433596.1,58827,59026,199,66.11557788944724,75,36.0,4.1721664186633225,5.411790166174393,0.8769933272961848
3,ENA|FN433596|FN433596.1,59177,59280,103,119.19417475728156,151,36.0,11.578105526822194,16.01590190676117,1.7272449186447407
4,ENA|FN433596|FN433596.1,60173,67094,6921,110.19751480999855,193,36.0,10.322821482439956,21.876068921295964,1.614022876744937
5,ENA|FN433596|FN433596.1,68408,68810,402,68.91044776119404,92,36.0,4.562128424194933,7.783762529200381,0.9367258251492818
6,ENA|FN433596|FN433596.1,68906,68976,70,90.38571428571429,107,37.0,7.217678368612668,9.473180046904108,1.2885694979409315
7,ENA|FN433596|FN433596.1,73449,73454,5,67.4,68,37.0,4.09721216021118,4.178666219100468,0.8652233206655464
8,ENA|FN433596|FN433596.1,73456,74025,569,74.59578207381371,116,36.342706502636204,5.270201241964381,11.132429394648836,1.037428193875655
9,ENA|FN433596|FN433596.1,74142,74209,67,71.59701492537313,82,36.0,4.936979192715283,6.388484668596858,0.9919025323014032
10,ENA|FN433596|FN433596.1,87078,87097,19,80.15789473684211,86,34.0,6.7893570694142165,7.652442259967108,1.2373098717933675
11,ENA|FN433596|FN433596.1,87098,87203,105,83.6952380952381,98,34.0,7.311947561883695,9.425265894616292,1.2996107955068146
12,ENA|FN433596|FN433596.1,87233,87898,665,111.53383458646617,155,34.0,11.424691046476271,17.846178159199905,1.7138747769253162
13,ENA|FN433596|FN433596.1,88007,89146,1139,112.60052677787533,151,34.0,11.582279140461763,17.25523694765018,1.7276069253035464
14,ENA|FN433596|FN433596.1,89172,89299,127,103.13385826771653,139,34.0,10.183718000778539,15.482413313000995,1.6009113876894419
