,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
0,ENA|FN433596|FN433596.1,1,8,7,337.14285714285717,360,518.8571428571429,-4.709213329625775,-5.318256534268087,-0.6219773430417113
1,ENA|FN433596|FN433596.1,5375,5400,25,354.44,363,519.0,-4.265523819354034,-4.8182401967250215,-0.5501931114813292
2,ENA|FN433596|FN433596.1,6202,6238,36,320.8333333333333,363,519.0,-5.131892991719441,-6.081444603962816,-0.6939104986094111
3,ENA|FN433596|FN433596.1,10419,10442,23,333.9130434782609,363,518.0,-4.778084133733584,-5.860674973890053,-0.6334796481350482
4,ENA|FN433596|FN433596.1,24149,24250,101,356.970297029703,400,516.0,-4.14679019117392,-5.338779934069215,-0.5315670309200289
5,ENA|FN433596|FN433596.1,26043,26046,3,354.3333333333333,358,515.0,-4.197325298077207,-4.283925005805417,-0.5394652412606324
6,ENA|FN433596|FN433596.1,31021,31064,43,351.8837209302326,370,512.0,-4.207400145070495,-4.544079323103777,-0.5410450374746438
7,ENA|FN433596|FN433596.1,36531,36532,1,67.0,67,510.0,-11.645154867726013,-11.645154867726013,-2.9282642464010853
8,ENA|FN433596|FN433596.1,48293,48371,78,757.4871794871794,841,510.0,6.469512065119848,8.660438954357435,0.5707242240139428
9,ENA|FN433596|FN433596.1,50259,50292,33,701.8181818181819,729,510.0,5.009057213505926,5.722161812143812,0.46060007665928765
10,ENA|FN433596|FN433596.1,50916,50955,39,303.5128205128205,357,509.0,-5.424688022919872,-6.437042139876234,-0.7459081984703564
11,ENA|FN433596|FN433596.1,53787,53795,8,692.375,698,508.0,4.83283152360375,4.9809822293075845,0.446725136391155
12,ENA|FN433596|FN433596.1,54431,54432,1,62.0,62,509.0,-11.773132382182169,-11.773132382182169,-3.03732553568882
13,ENA|FN433596|FN433596.1,58025,58049,24,350.4166666666667,361,508.0,-4.173633970554515,-4.42164922602908,-0.5357571023508154
14,ENA|FN433596|FN433596.1,59852,59853,1,53.0,53,508.0,-12.006965358065381,-12.006965358065381,-3.2607642322089667
15,ENA|FN433596|FN433596.1,60494,60509,15,338.0,352,507.0,-4.483104333580299,-4.826172406503594,-0.5849625007211563
16,ENA|FN433596|FN433596.1,60785,60794,9,342.8888888888889,351,507.0,-4.35408728051513,-4.5622738888702905,-0.5642445918749179
17,ENA|FN433596|FN433596.1,61955,61975,20,266.95,311,507.0,-6.358103301364919,-7.333208324019975,-0.9254161982261913
18,ENA|FN433596|FN433596.1,62192,62223,31,298.6774193548387,356,507.0,-5.520821407757707,-6.462343215830075,-0.763397576256202
19,ENA|FN433596|FN433596.1,63473,63678,205,355.5658536585366,401,508.0,-4.038015181817354,-4.606014548682739,-0.5147117136702056
20,ENA|FN433596|FN433596.1,65015,65364,349,327.2492836676218,381,508.0,-4.783814262220206,-7.608535517613776,-0.6344384628110372
21,ENA|FN433596|FN433596.1,66234,66246,12,346.6666666666667,352,508.0,-4.272401107690403,-4.447987129265317,-0.5512793744648674
22,ENA|FN433596|FN433596.1,66268,66372,104,106.91346153846153,357,508.53846153846155,-10.588647675454864,-13.40287422958595,-2.2499133763342103
23,ENA|FN433596|FN433596.1,68585,73894,5309,40.12017329063854,390,508.20267470333397,-12.347388118723938,-13.40287422958595,-3.6630042259143947
24,ENA|FN433596|FN433596.1,74090,74153,63,349.23809523809524,363,509.0,-4.222746188987378,-4.623297180668798,-0.5434547181427896
25,ENA|FN433596|FN433596.1,74737,74796,59,294.77966101694915,357,509.0,-5.654249240508152,-7.9090670343054565,-0.7880286704102275
26,ENA|FN433596|FN433596.1,74874,75123,249,197.95180722891567,355,508.0,-8.189238685352494,-13.350198423113476,-1.359679258281654
27,ENA|FN433596|FN433596.1,87846,87860,14,321.5,350,510.0,-4.968444754392372,-5.821069817981148,-0.6656785095309106
28,ENA|FN433596|FN433596.1,88899,88909,10,343.2,357,509.5,-4.390530667162781,-4.80730029247245,-0.5700325935536306
29,ENA|FN433596|FN433596.1,93391,93405,14,339.5,356,510.0,-4.496221642250897,-4.955327445721776,-0.5870856726141263
30,ENA|FN433596|FN433596.1,94987,95001,14,353.92857142857144,364,510.0,-4.1176935920422535,-4.325696629533141,-0.5270390168426116
31,ENA|FN433596|FN433596.1,97375,97378,3,352.6666666666667,354,510.0,-4.1507991805918545,-4.168288925485983,-0.5321920254659884
32,ENA|FN433596|FN433596.1,114535,114560,25,333.24,357,517.0,-4.778819722395652,-5.535533663669941,-0.633602697549657
33,ENA|FN433596|FN433596.1,115245,115273,28,324.7142857142857,360,517.0,-4.999460175860814,-5.794327761232968,-0.670993423554691
34,ENA|FN433596|FN433596.1,131990,132024,34,303.61764705882354,359,516.0,-5.530201124552921,-6.635258116628175,-0.7651154192154561
35,ENA|FN433596|FN433596.1,132907,132937,30,316.5,360,516.0,-5.19616733398773,-5.80551207979044,-0.7051655659949129
36,ENA|FN433596|FN433596.1,141735,141828,93,363.7096774193548,416,518.0,-4.008453481909058,-6.093140019442324,-0.5101647850433235
