,chr,start,end,size,mean_cov,max_cov,mean_rm,mean_zscore,max_zscore,log2_ratio
0,chr7,1,9903,9902,0.0,0.0,4.790299999999999,-4.009999999999998,-4.01,
1,chr7,16101,16103,2,0.0,0.0,4.74,-4.01,-4.01,
2,chr7,133801,133803,2,0.0,0.0,4.18,-4.01,-4.01,
3,chr7,191901,193603,1702,0.0,0.0,4.116944444444446,-4.010000000000001,-4.01,
4,chr7,206601,206703,102,13.899999999999999,14.18,4.12,6.645616114761964,6.834295192423518,1.7543686404276513
5,chr7,221501,221503,2,0.0,0.0,4.085,-4.01,-4.01,
6,chr7,224301,225603,1302,0.0,0.0,4.031785714285715,-4.009999999999999,-4.01,
7,chr7,237701,237703,2,16.94,16.94,4.0,9.036584341043122,9.036584341043122,2.082361969557474
8,chr7,237901,240103,2202,0.0,0.0,3.995652173913042,-4.010000000000002,-4.01,
9,chr7,240201,240403,202,35.24,59.26,3.99,21.799356308639815,38.51268816969756,3.1427532726980676
10,chr7,257801,257803,2,12.99,12.99,3.94,6.43230887612936,6.43230887612936,1.721133895991505
11,chr7,291001,291003,2,0.0,0.0,3.87,-4.01,-4.01,
12,chr7,308101,308103,2,12.56,12.56,3.83,6.3834992834488515,6.3834992834488515,1.71342016696667
13,chr7,322301,322303,2,0.0,0.0,3.84,-4.01,-4.01,
14,chr7,346801,346803,2,0.0,0.0,3.83,-4.01,-4.01,
15,chr7,380401,380503,102,0.0,0.0,3.89,-4.01,-4.01,
16,chr7,411201,411203,2,0.0,0.0,3.83,-4.01,-4.01,
17,chr7,414101,414303,202,0.0,0.0,3.82,-4.01,-4.01,
18,chr7,426401,426403,2,0.0,0.0,3.85,-4.01,-4.01,
19,chr7,459601,459703,102,14.355,14.9,3.76,7.878374381861853,8.280786996775657,1.9327487635295446
20,chr7,470701,470803,102,0.0,0.0,3.74,-4.01,-4.01,
21,chr7,481601,481603,2,0.0,0.0,3.69,-4.01,-4.01,
22,chr7,483301,483303,2,0.0,0.0,3.6950000000000003,-4.01,-4.01,
23,chr7,493901,494003,102,0.0,0.0,3.72,-4.01,-4.01,
24,chr7,497901,497903,2,17.38,17.38,3.73,10.215162671525245,10.215162671525245,2.2201805465591624
25,chr7,516701,517403,702,0.0,0.0,3.7393750000000003,-4.01,-4.01,
26,chr7,519301,520103,802,0.0,0.0,3.74,-4.01,-4.01,
27,chr7,531101,531103,2,0.0,0.0,3.74,-4.01,-4.01,
28,chr7,566501,566603,102,15.055,15.57,3.815,8.234975044462791,8.609754361989738,1.980487745890147
29,chr7,566801,567203,402,0.0,0.0,3.811,-4.01,-4.01,
30,chr7,580301,580303,2,13.1,13.1,3.86,6.701130499196063,6.701130499196063,1.7628940591567321
31,chr7,662401,662403,2,0.0,0.0,3.96,-4.01,-4.01,
32,chr7,712201,712603,402,0.0,0.0,4.092999999999999,-4.01,-4.01,
33,chr7,726801,727603,802,0.0,0.0,4.161666666666666,-4.01,-4.01,
34,chr7,816301,816903,602,0.0,0.0,4.004285714285714,-4.009999999999999,-4.01,
35,chr7,882501,882503,2,0.0,0.0,3.83,-4.01,-4.01,
36,chr7,889801,889803,2,0.0,0.0,3.82,-4.01,-4.01,
37,chr7,905501,906403,902,26.886000000000003,53.23,3.7595,17.13360988002107,36.58257695942901,2.838242425810426
38,chr7,906701,906703,2,0.0,0.0,3.75,-4.01,-4.01,
39,chr7,911601,911603,2,0.0,0.0,3.77,-4.01,-4.01,
40,chr7,924101,924103,2,0.0,0.0,3.73,-4.01,-4.01,
41,chr7,954201,954803,602,0.0,0.0,3.64,-4.009999999999999,-4.01,
42,chr7,1028001,1028303,302,0.0,0.0,3.6037500000000002,-4.01,-4.01,
43,chr7,1036401,1036403,2,0.0,0.0,3.64,-4.01,-4.01,
44,chr7,1038201,1039403,1202,0.0,0.0,3.6499999999999995,-4.009999999999999,-4.01,
45,chr7,1044501,1044503,2,0.0,0.0,3.67,-4.01,-4.01,
46,chr7,1059601,1059603,2,0.0,0.0,3.76,-4.01,-4.01,
47,chr7,1070101,1070103,2,0.0,0.0,3.75,-4.01,-4.01,
48,chr7,1073701,1074103,402,0.0,0.0,3.747,-4.01,-4.01,
49,chr7,1115101,1115103,2,12.21,12.21,3.81,6.176253032367673,6.176253032367673,1.680200297494081
50,chr7,1135901,1136203,302,0.0,0.0,3.78625,-4.01,-4.01,
51,chr7,1146201,1146803,602,0.0,0.0,3.8099999999999996,-4.009999999999999,-4.01,
52,chr7,1160301,1160403,102,0.0,0.0,3.82,-4.01,-4.01,
53,chr7,1229701,1230203,502,0.0,0.0,3.7833333333333337,-4.009999999999999,-4.01,
54,chr7,1236001,1236803,802,0.0,0.0,3.7938888888888886,-4.01,-4.01,
55,chr7,1247201,1247403,202,0.0,0.0,3.77,-4.01,-4.01,
56,chr7,1249101,1249503,402,0.0,0.0,3.7700000000000005,-4.01,-4.01,
57,chr7,1272101,1272703,602,25.958571428571428,38.41,3.8000000000000003,16.24436526314629,25.341371955547164,2.7721396663852333
58,chr7,1273201,1273703,502,0.0,0.0,3.808333333333333,-4.009999999999999,-4.01,
59,chr7,1280601,1280803,202,0.0,0.0,3.78,-4.01,-4.01,
60,chr7,1306501,1306503,2,0.0,0.0,3.7,-4.01,-4.01,
61,chr7,1315001,1315003,2,0.0,0.0,3.685,-4.01,-4.01,
62,chr7,1324201,1324203,2,0.0,0.0,3.65,-4.01,-4.01,
63,chr7,1347801,1347803,2,0.0,0.0,3.55,-4.01,-4.01,
64,chr7,1369401,1369403,2,0.0,0.0,3.6,-4.01,-4.01,
65,chr7,1412501,1412503,2,0.0,0.0,3.62,-4.01,-4.01,
66,chr7,1422601,1422603,2,0.0,0.0,3.5949999999999998,-4.01,-4.01,
67,chr7,1425201,1425203,2,0.0,0.0,3.57,-4.01,-4.01,
68,chr7,1444101,1444203,102,0.0,0.0,3.575,-4.01,-4.01,
