Sample	Sequana/coverage_ROI	Sequana/coverage_BOC	Sequana/coverage_DOC	Sequana/coverage_length	Sequana/coverage_CV	Sequana/coverage_C3
chr1	5633	92.29909642849252	5.302804120398548	248956422	4.556659168885772	0.9176
chr10	4468	98.97128122722772	5.399740682748183	133797422	1.7116391338069983	0.9826
chr11	2390	99.35893022777223	5.232186099741871	135086622	0.42119291698407807	0.9894
chr12	2528	99.59662473344667	5.301935953671872	133275309	0.6470359996248614	0.992
chr13	2554	85.51061344264474	4.867177932993133	114364328	1.0479300517242667	0.8506
chr14	1366	82.35722199697693	4.38692566967914	107043718	0.6467320378741938	0.8196
chr15	2076	82.72135243040576	4.331398032379263	101991189	0.6647452404315957	0.8223
chr16	1838	90.246561816459	5.119362242412971	90338345	7.50307554310636	0.8963
chr17	6485	98.69104885445755	5.018756292225926	83257441	2.5697989856657215	0.9795
chr18	2918	99.27699870479375	5.301807739634929	80373285	1.5905846977673492	0.9856
chr19	1531	94.60657787664817	4.563166569142084	58617616	0.5695962270226205	0.9397
chr2	3552	99.06421969862127	5.341605674138375	242193529	0.859639320361456	0.9863
chr20	1997	98.87903023080433	5.528005670021505	64444167	1.1715919091675477	0.979
chr21	2342	81.06101477199743	4.908607921216012	46709983	2.6104880860808817	0.7834
chr22	1748	72.30772258134341	3.686610506016509	50818468	1.4777604430520994	0.709
chr3	2211	99.71759333036134	5.404949222272207	198295559	2.035980756430166	0.9934
chr4	2048	99.48069180809465	5.5445663529508264	190214555	2.3226232106455975	0.9902
chr5	3106	98.3334095339661	5.380219198923862	181538259	2.568486626730181	0.9796
chr6	1525	99.40095781178647	5.370979731391166	170805979	0.4262157792428522	0.9902
chr7	3387	99.4841414280873	5.296518594756066	159345973	0.5259480148384721	0.9903
chr8	1841	99.4816682249462	5.3418855825496605	145138636	0.4676618656613234	0.9901
chr9	3166	87.74650492648568	4.771708698592723	138394717	0.6338720316162629	0.8696
chrX	2161	99.04287914258377	5.2349775347360845	156040895	0.4197725445582998	0.9867
chrY	9632	5.78655366738019	0.27147518238609064	57227415	29.271648660499352	0.0684
